分组字段原值,配置数量,载具ID,载具名称
2,2,"1,2",北京客运型 / 北京货运型
5,3,"3,4,5",韶山3客运型 / 韶山3货运型 / 韶山3货客型
6,2,"6,7",韶山1型客运型 / 韶山1型货运型
10,3,"8,9,10",东风4b客运型 / 东风4b货运型 / 东风4b客货型
11,2,"11,12",东风6客运型 / 东风6货运型
15,3,"13,14,15",DJ1型客运型 / DJ1型货运型 / DJ1型客货型
18,3,"16,17,18",东风11G客运型 / 东风11G货运型 / 东风11G客货型
21,3,"19,20,21",韶山7客运型 / 韶山7货运型 / 韶山7客货型
24,3,"22,23,24",北亚客运型 / 北亚货运型 / 北亚客货型
27,3,"25,26,27",韶山9客运型 / 韶山9货运型 / 韶山9客货型
30,3,"28,29,30",蓝箭客运型 / 蓝箭货运型 / 蓝箭客货型
33,3,"31,32,33",长白山客运型 / 长白山货运型 / 长白山客货型
36,3,"34,35,36",DJ2客运型 / DJ2货运型 / DJ2客货两用型
39,3,"37,38,39",中华之星客运型 / 中华之星货运型 / 中华之星客货型
42,3,"40,41,42",和谐CRH1客运型 / 和谐CRH1货运型 / 和谐CRH1客货型
45,3,"43,44,45",和谐CRH2客运型 / 和谐CRH2货运型 / 和谐CRH2客货型
48,3,"46,47,48",和谐CRH3客运型 / 和谐CRH3货运型 / 和谐CRH3客货型
51,3,"49,50,51",磁悬浮客运型 / 磁悬浮货运型 / 磁悬浮客货型
52,1,52,宇通巴士客运型
53,1,53,松花江货运型
54,1,54,tank坦克货运型
55,1,55,劳斯莱斯客运型
56,1,56,蒸汽车客货型
57,1,57,飞艇客货型
58,1,58,md400客货型
59,3,"59,61,62",欧洲野牛客货型 / 欧洲野牛客运型 / 欧洲野牛货运型
60,1,60,寰宇客货运飞船
63,3,"63,64,65",mini野牛客货型 / mini野牛客运型 / mini野牛货运型
101,2,"100,101",直升机货运型 / 直升机客货型
102,1,102,厢式卡车客货型
103,2,"103,104",航天飞机客运型 / 航天飞机客货型
107,1,107,南瓜车客货型
108,1,108,公主车客货型
201,2,"200,201",苏联TE10货运型 / 苏联TE10客货型
303,4,"202,203,252,303",EMDE8客运型 / EMDE8客货型 / EMDE8货运型 / KihaE200客货型
206,3,"204,205,206",NJ2客运型 / NJ2货运型 / NJ2客货型
208,2,"207,208",EMDD40货运型 / EMDD40客货型
210,3,"209,210,250",E200客运型 / E200客货型 / E200货运型
215,2,"214,215",人民型货运型 / 人民型客货型
219,3,"218,219,251",Aerotrain客运型 / Aerotrain客货型 / Aerotrain货运型
223,3,"221,222,223",法国TGV客运型 / 法国TGV货运型 / 法国TGV客货型
226,3,"224,225,226",新干线E4客运型 / 新干线E4货运型 / 新干线E4客货型
229,3,"227,228,229",RABE514客运型 / RABE514货运型 / RABE514客货型
232,3,"230,231,232",法国AGV客运型 / 法国AGV货运型 / 法国AGV客货型
