载具ID,名称,运输类型,分组字段原值,机头图片,车厢图片,客位编码原值,货位编码原值
1,北京客运型,客运型,2,t_0102.png,,1,0
2,北京货运型,货运型,2,t_0102.png,,0,1
3,韶山3客运型,客运型,5,t_030405.png,,2,0
4,韶山3货运型,货运型,5,t_030405.png,,0,2
5,韶山3货客型,客货混合型,5,t_030405.png,,1,1
6,韶山1型客运型,客运型,6,t_0607.png,,1,0
7,韶山1型货运型,货运型,6,t_0607.png,,0,1
8,东风4b客运型,客运型,10,t_080910.png,,2,0
9,东风4b货运型,货运型,10,t_080910.png,,0,2
10,东风4b客货型,客货混合型,10,t_080910.png,,1,1
11,东风6客运型,客运型,11,t_1112.png,,1,0
12,东风6货运型,货运型,11,t_1112.png,,0,1
13,DJ1型客运型,客运型,15,t_131415.png,,3,0
14,DJ1型货运型,货运型,15,t_131415.png,,0,3
15,DJ1型客货型,客货混合型,15,t_131415.png,,2,1
16,东风11G客运型,客运型,18,t_161718.png,,3,0
17,东风11G货运型,货运型,18,t_161718.png,,0,3
18,东风11G客货型,客货混合型,18,t_161718.png,,1,2
19,韶山7客运型,客运型,21,t_192021.png,,4,0
20,韶山7货运型,货运型,21,t_192021.png,,0,4
21,韶山7客货型,客货混合型,21,t_192021.png,,2,2
22,北亚客运型,客运型,24,t_222324.png,,3,0
23,北亚货运型,货运型,24,t_222324.png,,0,3
24,北亚客货型,客货混合型,24,t_222324.png,,1,2
25,韶山9客运型,客运型,27,t_252627.png,,4,0
26,韶山9货运型,货运型,27,t_252627.png,,0,4
27,韶山9客货型,客货混合型,27,t_252627.png,,2,2
28,蓝箭客运型,客运型,30,t_282930.png,,3,0
29,蓝箭货运型,货运型,30,t_282930.png,,0,3
30,蓝箭客货型,客货混合型,30,t_282930.png,,2,1
31,长白山客运型,客运型,33,t_313233.png,,5,0
32,长白山货运型,货运型,33,t_313233.png,,0,5
33,长白山客货型,客货混合型,33,t_313233.png,,3,2
34,DJ2客运型,客运型,36,t_343536.png,,6,0
35,DJ2货运型,货运型,36,t_343536.png,,0,6
36,DJ2客货两用型,客货混合型,36,t_343536.png,,3,3
37,中华之星客运型,客运型,39,t_373839.png,,8,0
38,中华之星货运型,货运型,39,t_373839.png,,0,8
39,中华之星客货型,客货混合型,39,t_373839.png,,4,4
40,和谐CRH1客运型,客运型,42,t_404142.png,,10,0
41,和谐CRH1货运型,货运型,42,t_404142.png,,0,10
42,和谐CRH1客货型,客货混合型,42,t_404142.png,,5,5
43,和谐CRH2客运型,客运型,45,t_434445.png,x_434445.png,10,0
44,和谐CRH2货运型,货运型,45,t_434445.png,x_434445.png,0,10
45,和谐CRH2客货型,客货混合型,45,t_434445.png,x_434445.png,5,5
46,和谐CRH3客运型,客运型,48,t_464748.png,x_464748.png,12,0
47,和谐CRH3货运型,货运型,48,t_464748.png,x_464748.png,0,12
48,和谐CRH3客货型,客货混合型,48,t_464748.png,x_464748.png,6,6
49,磁悬浮客运型,客运型,51,t_495051.png,x_495051.png,17,0
50,磁悬浮货运型,货运型,51,t_495051.png,x_495051.png,0,17
51,磁悬浮客货型,客货混合型,51,t_495051.png,x_495051.png,9,8
52,宇通巴士客运型,客运型,52,t_52.png,,3,0
53,松花江货运型,货运型,53,t_53.png,,0,1
54,tank坦克货运型,货运型,54,t_54.png,,0,1
55,劳斯莱斯客运型,客运型,55,t_55.png,,1,0
56,蒸汽车客货型,客货混合型,56,t_56.png,,2,2
57,飞艇客货型,客货混合型,57,t_57.png,,2,3
58,md400客货型,客货混合型,58,t_58.png,,2,3
59,欧洲野牛客货型,客货混合型,59,t_59.png,,5,5
60,寰宇客货运飞船,客货混合型,60,t_60.png,,4,4
61,欧洲野牛客运型,客运型,59,t_59.png,,10,0
62,欧洲野牛货运型,货运型,59,t_59.png,,0,10
63,mini野牛客货型,客货混合型,63,t_63.png,,4,4
64,mini野牛客运型,客运型,63,t_63.png,,8,0
65,mini野牛货运型,货运型,63,t_63.png,,0,8
100,直升机货运型,货运型,101,t_100101.png,,0,6
101,直升机客货型,客货混合型,101,t_100101.png,,3,3
102,厢式卡车客货型,客货混合型,102,t_102.png,,3,3
103,航天飞机客运型,客运型,103,t_103104.png,,6,0
104,航天飞机客货型,客货混合型,103,t_103104.png,,3,3
107,南瓜车客货型,客货混合型,107,t_107.png,,3,3
108,公主车客货型,客货混合型,108,t_108.png,,2,2
200,苏联TE10货运型,货运型,201,t_200201.png,,0,5
201,苏联TE10客货型,客货混合型,201,t_200201.png,,2,3
202,EMDE8客运型,客运型,303,t_202203.png,,4,0
203,EMDE8客货型,客货混合型,303,t_202203.png,,2,2
204,NJ2客运型,客运型,206,t_204205206.png,x_204205206.png,9,0
205,NJ2货运型,货运型,206,t_204205206.png,x_204205206.png,0,9
206,NJ2客货型,客货混合型,206,t_204205206.png,x_204205206.png,5,4
207,EMDD40货运型,货运型,208,t_207208.png,,0,6
208,EMDD40客货型,客货混合型,208,t_207208.png,,3,3
209,E200客运型,客运型,210,t_209210.png,,7,0
210,E200客货型,客货混合型,210,t_209210.png,,4,3
214,人民型货运型,货运型,215,t_214215.png,,0,7
215,人民型客货型,客货混合型,215,t_214215.png,,3,4
218,Aerotrain客运型,客运型,219,t_218219.png,,7,0
219,Aerotrain客货型,客货混合型,219,t_218219.png,,4,3
221,法国TGV客运型,客运型,223,t_221222223.png,,8,0
222,法国TGV货运型,货运型,223,t_221222223.png,,0,8
223,法国TGV客货型,客货混合型,223,t_221222223.png,,4,4
224,新干线E4客运型,客运型,226,t_224225226.png,x_224225226.png,12,0
225,新干线E4货运型,货运型,226,t_224225226.png,x_224225226.png,0,12
226,新干线E4客货型,客货混合型,226,t_224225226.png,x_224225226.png,6,6
227,RABE514客运型,客运型,229,t_227228229.png,x_227228229.png,11,0
228,RABE514货运型,货运型,229,t_227228229.png,x_227228229.png,0,11
229,RABE514客货型,客货混合型,229,t_227228229.png,x_227228229.png,6,5
230,法国AGV客运型,客运型,232,t_230231232.png,x_230231232.png,14,0
231,法国AGV货运型,货运型,232,t_230231232.png,x_230231232.png,0,14
232,法国AGV客货型,客货混合型,232,t_230231232.png,x_230231232.png,7,7
233,欧亚之星客运型,客运型,235,t_233234235.png,x_233234235.png,15,0
234,欧亚之星货运型,货运型,235,t_233234235.png,x_233234235.png,0,15
235,欧亚之星客货型,客货混合型,235,t_233234235.png,x_233234235.png,8,7
238,韶山8客货运型,客货混合型,238,t_238.png,x_238.png,2,2
239,韶山7E客货运型,客货混合型,239,t_239.png,x_239.png,3,2
240,DJ4客货运型,客货混合型,240,t_240.png,x_240.png,3,2
241,神州客货运型,客货混合型,241,t_241.png,x_241.png,4,3
242,CRH5客货运型,客货混合型,242,t_242.png,x_242.png,6,6
243,CRH5货运型,货运型,242,t_242.png,x_242.png,0,12
244,CRH380A客货型,客货混合型,244,t_244245.png,x_244245.png,5,5
245,CRH380A货运型,货运型,244,t_244245.png,x_244245.png,0,10
246,神州货运型,货运型,241,t_241.png,x_241.png,0,7
247,DJ4货运型,货运型,240,t_240.png,x_240.png,0,5
248,韶山7E货运型,货运型,239,t_239.png,x_239.png,0,5
249,韶山8货运型,货运型,238,t_238.png,x_238.png,0,4
250,E200货运型,货运型,210,t_209210.png,,0,7
251,Aerotrain货运型,货运型,219,t_218219.png,,0,7
252,EMDE8货运型,货运型,303,t_202203.png,,0,4
253,大男孩客运型,客运型,255,t_253254255.png,x_253254255.png,5,0
254,大男孩货运型,货运型,255,t_253254255.png,x_253254255.png,0,5
255,大男孩客货型,客货混合型,255,t_253254255.png,x_253254255.png,2,3
256,运20实验客货机,客货混合型,256,t_256.png,,4,4
257,M497客货运型,客货混合型,257,t_257.png,x_257.png,4,4
258,美食火车单节版,客运型,258,t_258.png,,1,0
259,美食火车双节版,客货混合型,259,t_259.png,,1,2
266,CRH3红旗客运型,客运型,268,t_266267268.png,x_266267268.png,12,0
267,CRH3红旗货运版,货运型,268,t_266267268.png,x_266267268.png,0,12
268,CRH3红旗客货型,客货混合型,268,t_266267268.png,x_266267268.png,6,6
269,TGV熊猫客运型,客运型,271,t_269270271.png,x_269270271.png,8,0
270,TGV熊猫货运型,货运型,271,t_269270271.png,x_269270271.png,0,8
271,TGV熊猫客货型,客货混合型,271,t_269270271.png,x_269270271.png,4,4
272,神州万圣节客货,客货混合型,272,t_272.png,x_272.png,4,3
273,神州万圣节货运,货运型,272,t_272.png,x_272.png,0,7
274,运20列装客货机,客货混合型,256,t_274.png,,4,4
275,美食火车四节客货型,客货混合型,275,t_275.png,x_275.png,3,4
276,野鸭号客货型,客货混合型,276,t_276.png,x_276.png,3,2
277,庐山号客货型,客货混合型,277,t_277.png,x_277.png,5,5
278,木星客货型,客货混合型,278,t_278.png,x_278.png,2,2
279,M497客运型,客运型,257,t_257.png,x_257.png,8,0
280,M497货运型,货运型,257,t_257.png,x_257.png,0,8
281,英铁220客运型,客运型,283,t_281282283.png,,9,0
282,英铁220货运型,货运型,283,t_281282283.png,,0,9
283,英铁220客货型,客货混合型,283,t_281282283.png,,4,5
284,GE_p42D客货型,客货混合型,284,t_284.png,x_284.png,5,5
285,庐山圣诞客货型,客货混合型,285,t_285.png,x_285.png,5,5
286,TRAXX客货型,客货混合型,286,t_286.png,x_286.png,2,3
287,大黄鸭客货型,客货混合型,287,t_287.png,,1,2
288,NZJ1型客运型,客运型,290,t_288289290.png,x_288289290.png,12,0
289,NZJ1型货运型,货运型,290,t_288289290.png,x_288289290.png,0,12
290,NZJ1型客货型,客货混合型,290,t_288289290.png,x_288289290.png,6,6
291,TMST春节客货型,客货混合型,291,t_291.png,x_291.png,6,6
292,NZJ1春节客货型,客货混合型,292,t_292.png,x_292.png,6,6
293,JR磁悬浮客货型,客货混合型,293,t_293.png,x_293.png,8,9
294,NZJ1春节客运型,客运型,292,t_292.png,x_292.png,12,0
295,NZJ1春节货运型,货运型,292,t_292.png,x_292.png,0,12
296,NJ2春节客货型,客货混合型,296,t_296.png,x_296.png,5,4
297,韩国KTX客运型,客运型,299,t_297298299.png,x_297298299.png,12,0
298,韩国KTX货运型,货运型,299,t_297298299.png,x_297298299.png,0,12
299,韩国KTX客货型,客货混合型,299,t_297298299.png,x_297298299.png,6,6
300,CRH380A客运型,客运型,244,t_244245.png,x_244245.png,10,0
301,运20元宵客货机,客货混合型,256,t_301.png,,4,4
302,英铁43客货型,客货混合型,302,t_302.png,x_302.png,2,3
303,KihaE200客货型,客货混合型,303,t_303.png,x_303.png,5,4
304,新干线300客货型,客货混合型,304,t_304.png,x_304.png,8,7
305,圣诞版AVE客运型,客运型,307,t_305306307.png,x_305306307.png,12,0
306,圣诞版AVE货运型,货运型,307,t_305306307.png,x_305306307.png,0,12
307,圣诞版AVE客货运型,客货混合型,307,t_305306307.png,x_305306307.png,6,6
308,英铁47型柴油机车客货型,客货混合型,308,t_308.png,,2,2
309,德铁103电力客货型,客货混合型,309,t_309.png,x_309.png,3,3
310,Alco_PA_1柴油机车客货型,客货混合型,310,t_310.png,x_310.png,2,2
311,德国Class1020电力机车客运型,客运型,313,t_311312313.png,x_311312313.png,4,0
312,德国Class1020电力机车货运型,货运型,313,t_311312313.png,x_311312313.png,0,4
313,德国Class1020电力机车客货型,客货混合型,313,t_311312313.png,x_311312313.png,2,2
314,Regina电力客运型,客运型,316,t_314315316.png,x_314315316.png,10,0
315,Regina电力货运型,货运型,316,t_314315316.png,x_314315316.png,0,10
