col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
1,255,3,2,4,0,2500,6,0,950,5,0,375,7,0,150,12,3,40,8,0,17
2,276,3,2,4,0,1800,5,0,100,7,0,52,13,3,30,12,3,40,8,0,17
3,241,1,2,4,0,1500,16,1,1000,5,0,90,7,0,220,13,1,10,8,0,16
4,271,3,2,4,0,2050,5,0,141,7,0,130,13,3,30,12,3,40,8,0,15
5,45,1,2,4,0,2600,16,1,1000,6,0,1540,5,0,230,7,0,190,8,0,12
6,244,1,2,4,0,1500,16,1,1000,6,0,950,5,0,60,7,0,90,8,0,12
7,284,3,2,4,0,2250,6,0,1304,5,0,200,7,0,240,12,3,40,8,0,12
8,316,3,2,4,0,2100,6,0,1244,5,0,50,7,0,140,12,3,40,8,0,13
9,400,3,2,4,0,2250,6,0,1340,5,0,80,7,0,250,12,3,40,8,0,12
10,412,3,2,4,0,1950,5,0,70,7,0,185,13,3,30,12,3,40,8,0,12
11,419,1,2,4,0,2000,16,1,1000,5,0,170,7,0,170,13,1,10,8,0,13
12,229,3,2,4,0,2100,6,0,1520,5,0,247,7,0,135,12,3,40,8,0,11
13,383,3,2,4,0,1500,5,0,50,7,0,100,13,3,30,12,3,40,8,0,11
14,422,3,2,4,0,2000,6,0,1204,5,0,60,7,0,150,12,3,40,8,0,11
15,48,1,2,4,0,3000,6,0,1340,16,1,1000,5,0,100,7,0,250,8,0,10
16,226,2,2,4,0,2200,6,0,1835,5,0,230,7,0,190,13,2,15,8,0,11
17,291,3,2,4,0,1500,5,0,60,7,0,230,13,3,30,12,3,40,8,0,11
18,299,2,2,4,0,2195,6,0,1381,5,0,170,7,0,190,12,2,40,8,0,11
19,307,3,2,4,0,1950,6,0,1384,5,0,50,7,0,190,12,3,40,8,0,10
20,320,3,2,4,0,1500,6,0,1664,5,0,150,7,0,130,12,3,40,8,0,10
21,321,2,2,4,0,1289,5,0,110,7,0,190,13,2,15,12,2,40,8,0,11
22,329,1,2,4,0,2150,6,0,1469,5,0,190,7,0,205,13,1,10,8,0,12
23,487,1,2,4,0,1800,6,0,950,5,0,30,7,0,200,13,1,10,8,0,11
24,494,3,2,4,0,1600,6,0,1132,5,0,50,7,0,180,12,3,40,8,0,12
25,5001,3,2,4,0,2050,6,0,920,5,0,100,7,0,210,12,3,40,8,0,11
26,338,3,2,4,0,1500,6,0,1686,5,0,100,7,0,215,12,3,40,8,0,11
27,355,2,2,4,0,2150,6,0,1009,5,0,140,7,0,195,12,2,40,8,0,10
28,363,3,2,4,0,1250,6,0,620,5,0,100,7,0,197,12,3,40,8,0,9
29,381,3,2,4,0,1400,6,0,1207,5,0,50,7,0,130,12,3,40,8,0,9
30,413,2,2,4,0,1740,6,0,950,5,0,130,7,0,190,12,2,40,8,0,10
31,425,3,2,4,0,700,6,0,1305,5,0,49,7,0,170,12,3,40,8,0,11
32,427,1,2,4,0,2550,6,0,979,5,0,120,7,0,210,13,1,10,8,0,11
33,455,2,2,4,0,1000,6,0,1028,5,0,55,7,0,170,12,2,40,8,0,10
34,500,1,2,4,0,1200,6,0,920,5,0,40,7,0,220,13,1,10,8,0,10
35,232,3,2,4,0,1850,6,0,2564,5,0,150,7,0,210,12,3,40,8,0,9
36,322,1,2,4,0,1250,6,0,1038,5,0,150,7,0,230,13,1,10,8,0,9
37,354,3,2,4,0,1600,6,0,1625,5,0,105,7,0,205,12,3,40,8,0,9
38,372,3,2,4,0,1200,6,0,2051,5,0,130,7,0,110,12,3,40,8,0,9
39,394,3,2,4,0,1050,6,0,1797,5,0,120,7,0,170,12,3,40,8,0,10
40,414,3,2,4,0,500,6,0,1658,5,0,90,7,0,200,12,3,40,8,0,10
41,428,2,2,4,0,600,6,0,1346,5,0,80,7,0,170,12,2,40,8,0,10
42,438,2,2,4,0,390,6,0,1558,5,0,70,7,0,180,12,2,40,8,0,10
43,442,1,2,4,0,600,6,0,812,5,0,60,7,0,190,13,1,10,8,0,8
44,460,3,2,4,0,1100,6,0,1758,5,0,40,7,0,160,12,3,40,8,0,8
45,464,2,2,4,0,700,5,0,60,7,0,160,13,2,15,12,2,40,8,0,10
46,474,1,2,4,0,650,6,0,1473,5,0,40,7,0,185,13,1,10,8,0,8
47,484,1,2,4,0,1270,6,0,1263,5,0,20,7,0,180,13,1,10,8,0,9
48,491,2,2,4,0,1350,6,0,971,5,0,30,7,0,160,12,2,40,8,0,10
49,497,1,2,4,0,900,6,0,1127,5,0,30,7,0,190,13,1,10,8,0,8
50,503,2,2,4,0,400,6,0,1030,5,0,140,7,0,85,12,2,40,8,0,10
51,512,1,2,4,0,500,6,0,1071,5,0,50,7,0,100,13,1,10,8,0,8
52,528,3,2,4,0,550,6,0,1225,5,0,30,7,0,150,12,3,40,8,0,10
53,235,3,2,4,0,1650,6,0,2094,5,0,220,7,0,220,12,3,40,8,0,7
54,304,2,2,4,0,1500,6,0,1325,5,0,90,7,0,150,12,2,40,8,0,8
55,357,3,2,4,0,1350,6,0,1826,5,0,45,7,0,190,12,3,40,8,0,8
56,415,2,2,4,0,1250,6,0,1549,5,0,30,7,0,210,12,2,40,8,0,9
57,481,2,2,4,0,700,6,0,1540,5,0,70,7,0,160,12,2,40,8,0,10
58,416,1,2,4,0,1320,6,0,1000,5,0,60,7,0,220,13,1,10,8,0,8
59,445,3,2,4,0,1100,6,0,1245,7,0,250,13,3,30,12,3,40,8,0,8
60,446,3,2,4,0,600,6,0,1449,5,0,50,7,0,160,12,3,40,8,0,7
61,452,2,2,4,0,600,6,0,646,5,0,50,7,0,180,12,2,40,8,0,7
62,475,2,2,4,0,700,6,0,891,5,0,40,7,0,180,12,2,40,8,0,7
63,488,2,2,4,0,1050,6,0,1115,5,0,70,7,0,170,12,2,40,8,0,8
64,509,1,2,4,0,800,6,0,912,5,0,20,7,0,110,13,1,10,8,0,7
65,531,3,2,4,0,900,6,0,1605,5,0,40,7,0,180,12,3,40,8,0,8
66,540,2,2,4,0,400,6,0,794,5,0,70,7,0,50,12,2,40,8,0,7
67,543,1,2,4,0,650,6,0,3741,5,0,60,7,0,30,13,1,10,8,0,6
68,552,1,2,4,0,800,6,0,1838,5,0,50,7,0,30,13,1,10,8,0,6
69,585,2,2,4,0,800,6,0,2282,7,0,50,13,2,15,12,2,40,8,0,6
70,51,1,2,4,0,1000,6,0,1520,5,0,50,7,0,180,13,1,10,8,0,6
71,293,2,2,4,0,1100,6,0,1856,5,0,50,7,0,200,12,2,40,8,0,7
72,378,1,2,4,0,1400,6,0,2538,5,0,100,7,0,250,13,1,10,8,0,5
73,388,1,2,4,0,400,6,0,1815,5,0,30,7,0,150,13,1,10,8,0,5
74,462,3,2,4,0,950,6,0,2519,5,0,20,7,0,160,12,3,40,8,0,5
75,502,2,2,4,0,500,6,0,1094,5,0,158,7,0,35,12,2,40,8,0,5
76,537,1,2,4,0,900,6,0,1641,5,0,40,7,0,40,12,1,40,8,0,5
77,546,1,2,4,0,400,6,0,1546,5,0,40,7,0,10,13,1,10,8,0,6
78,561,1,2,4,0,800,6,0,2405,5,0,20,7,0,40,12,1,40,8,0,6
79,567,1,2,4,0,900,6,0,2092,5,0,30,7,0,20,13,1,10,8,0,7
80,573,2,2,4,0,500,6,0,2074,7,0,70,13,2,15,12,2,40,8,0,7
81,579,1,2,4,0,850,6,0,2177,5,0,30,7,0,70,13,1,10,8,0,6
82,461,2,2,4,0,800,6,0,1594,5,0,20,7,0,170,12,2,40,8,0,5
83,549,1,2,4,0,1000,6,0,2225,16,1,1000,7,0,40,13,1,10,8,0,5
84,558,2,2,4,0,700,6,0,1915,15,2,2000,13,2,15,12,2,40,8,0,5
85,564,3,2,4,0,1000,6,0,2620,18,3,2000,13,3,30,12,3,40,8,0,6
86,591,1,2,4,0,1200,6,0,2015,16,1,1000,7,0,60,13,1,10,8,0,7
87,598,1,2,4,0,1200,6,0,850,16,1,1000,7,0,70,13,1,10,8,0,5
88,570,3,2,4,0,1000,6,0,2738,18,3,2000,7,0,70,12,3,40,8,0,4
89,576,1,2,4,0,1200,6,0,2071,7,0,40,13,1,15,12,1,40,8,0,4
90,582,3,2,4,0,1000,6,0,2217,18,3,2000,7,0,70,12,3,40,8,0,4
91,594,1,2,4,0,1100,6,0,1717,16,1,1000,7,0,40,12,1,90,8,0,5
92,597,1,2,4,0,1100,6,0,2340,16,1,1000,7,0,70,12,1,90,8,0,6
93,601,1,2,4,0,1000,6,0,1750,16,1,1000,7,0,70,12,1,90,8,0,5
94,612,2,2,4,0,1000,6,0,1732,7,0,70,13,2,15,12,2,40,8,0,6
95,618,3,2,4,0,1000,6,0,2240,18,3,2000,7,0,20,12,3,40,8,0,6
96,621,1,2,4,0,1000,6,0,2340,16,1,1000,7,0,40,12,1,90,8,0,7
97,624,1,2,4,0,1000,6,0,1455,7,0,40,13,1,15,12,1,40,8,0,6
98,627,2,2,4,0,1000,6,0,1965,7,0,40,13,2,15,12,2,40,8,0,7
99,648,1,2,4,0,1000,6,0,1355,16,1,1000,7,0,40,12,1,90,8,0,6
100,555,1,2,4,0,1000,5,0,100,16,1,1000,7,0,30,3,0,1,8,0,10
101,588,1,2,4,0,2000,6,0,2340,16,1,1000,7,0,40,12,1,90,8,0,6
102,604,2,2,4,0,1000,6,0,1065,7,0,40,13,2,15,12,2,40,8,0,5
103,609,1,2,4,0,1500,6,0,1065,16,1,1000,7,0,40,12,1,90,8,0,5
104,630,2,2,4,0,1000,6,0,2012,7,0,50,13,2,15,12,2,40,8,0,6
105,633,1,2,4,0,1000,6,0,2222,16,1,1000,7,0,50,12,1,90,8,0,4
106,636,3,2,4,0,1000,6,0,770,18,3,2000,7,0,50,12,3,40,8,0,6
107,639,1,2,4,0,1000,6,0,1260,16,1,1000,7,0,40,12,1,90,8,0,8
108,645,1,2,4,0,500,6,0,983,16,1,1000,7,0,40,12,1,90,8,0,5
109,654,1,2,4,0,1000,6,0,1614,16,1,1000,7,0,40,3,0,1,8,0,6
110,657,1,2,4,0,1000,6,0,1065,16,1,1000,5,0,80,12,1,90,8,0,5
111,660,2,2,4,0,1000,15,2,2000,7,0,30,13,2,15,3,0,1,8,0,4
112,663,1,2,4,0,1000,6,0,1260,16,1,1000,5,0,50,12,1,90,8,0,6
113,669,1,2,4,0,1000,6,0,1750,16,1,1000,7,0,20,12,1,90,8,0,7
114,672,1,2,4,0,1000,6,0,1065,16,1,1000,7,0,10,3,0,1,8,0,6
115,675,2,2,6,0,1652,15,2,2000,7,0,20,13,2,15,3,0,1,8,0,8
116,678,2,2,4,0,1000,15,2,2000,7,0,30,13,2,15,3,0,1,8,0,7
117,687,2,2,4,0,1000,6,0,570,15,2,2000,13,2,15,3,0,1,8,0,8
118,693,3,2,4,0,1500,18,3,2000,13,3,30,12,3,40,3,0,1,8,0,11
119,690,2,2,15,2,2000,13,2,15,7,0,40,12,2,40,3,0,1,8,0,10
120,702,1,2,8,0,1,8,0,1,8,0,1,8,0,1,8,0,2,8,0,4
121,711,1,2,5,0,301,8,0,1,13,1,10,8,0,2,3,0,1,8,0,7
122,714,1,2,8,0,1,12,0,300,8,0,1,12,0,300,8,0,1,8,0,8
123,717,1,2,8,0,1,8,0,1,12,0,100,15,0,2000,3,0,1,8,0,10
124,720,2,2,8,0,1,12,0,100,7,0,25,11,0,400,3,0,1,8,0,10
125,723,3,2,11,0,5000,8,0,1,18,0,3000,12,0,100,3,0,1,8,0,10
126,642,1,2,4,0,1000,6,0,1289,16,1,1000,7,0,50,3,0,1,8,0,10
127,651,2,2,4,0,1000,6,0,1065,7,0,40,15,0,2000,3,0,1,8,0,12
128,666,1,2,16,1,1000,6,0,670,7,0,30,16,0,2000,3,0,1,8,0,14
129,684,1,2,5,0,80,6,0,475,7,0,30,16,0,2000,3,0,1,8,0,10
130,705,3,2,6,0,1750,5,0,48,18,3,2000,13,3,30,3,0,1,8,0,10
131,699,1,2,5,0,61,16,1,1000,13,1,10,12,1,90,3,0,1,8,0,12
132,726,1,2,5,0,200,8,0,2,12,0,200,18,0,5000,12,0,300,8,0,12
133,732,1,2,5,0,233,8,0,1,11,0,1500,18,0,5000,12,0,500,8,0,13
134,735,1,2,8,0,2,12,0,100,11,0,1000,18,0,7000,12,0,500,8,0,10
135,747,2,2,5,0,200,8,0,2,11,0,5000,18,0,5000,12,0,400,8,0,10
136,756,3,2,5,0,200,12,0,200,12,0,300,11,0,4000,11,0,4000,8,0,12
137,759,1,2,8,0,5,5,0,200,12,0,300,11,0,4000,12,0,300,8,0,10
138,762,3,2,5,0,200,11,0,5000,12,0,300,12,0,400,12,0,400,8,0,13
139,765,3,2,8,0,2,5,0,300,11,0,5000,12,0,300,12,0,400,8,0,13
140,774,3,2,5,0,200,12,0,300,8,0,12,11,0,6000,12,0,400,12,0,400
141,777,1,2,8,0,3,5,0,200,12,0,600,12,0,700,8,0,10,11,0,8000
142,780,1,2,21,1040,4,21,1040,4,21,1040,4,21,1040,4,21,1040,4,8,0,10
143,789,1,2,6,0,620,8,0,2,20,0,12000,11,0,8000,12,0,1000,8,0,13
144,792,1,2,8,0,2,5,0,300,11,0,5000,12,0,500,12,0,1000,8,0,13
145,795,1,2,5,0,300,8,0,3,8,0,5,11,0,10000,12,0,1000,8,0,8
146,801,2,2,4,0,1000,5,0,300,8,0,5,11,0,8000,12,0,1000,8,0,11
147,804,3,2,8,0,2,5,0,300,11,0,5000,12,0,300,12,0,1000,8,0,8
148,807,1,2,4,0,1000,5,0,300,8,0,5,11,0,10000,12,0,1000,8,0,8
149,810,1,2,5,0,300,8,0,3,11,0,7000,12,0,500,12,0,1000,8,0,10
150,813,1,2,5,0,350,8,0,5,12,0,2000,11,0,5000,14,0,3000,8,0,10
151,816,1,2,8,0,2,5,0,100,11,0,5000,8,0,3,12,0,1000,8,0,10
152,819,3,2,8,0,2,6,0,770,5,0,200,12,0,500,11,0,3000,8,0,10
153,822,3,2,13,3,20,8,0,4,11,0,4000,13,0,100,12,0,1000,8,0,13
154,825,3,2,5,0,300,18,0,3000,11,0,5000,20,0,15000,3,0,1,8,0,13
155,828,1,2,8,0,5,12,0,800,18,0,2000,20,0,25000,14,0,3000,8,0,13
