col_0,col_1,col_2,col_3,col_4,col_5,col_6
1,12,5,17276,,成田特快E259客货型,1
2,12,5,17277,,英铁Class395客货型,1
3,12,5,17278,,新干线E3客货型,1
4,12,5,17279,,ITX新村号客货型,1
5,12,5,17280,,CR400BF客货型,1
6,12,5,17281,,新干线EVA客货型,1
7,12,5,17282,,E657系电车客货型,1
8,12,5,17283,,复兴号客货型,1
9,12,5,17284,,西门子Velaro RUS CHS8客货型,1
10,12,5,17285,,CR200J型复兴号动车组客货型,1
11,12,5,17286,,大力士高速列车客货型,1
12,12,5,17287,,世界杯涂装火车客货型,1
13,12,5,17288,,2019五一涂装客货型,1
14,12,5,17289,,OUIGO客货型,1
15,12,5,17290,,2019春节涂装高速列车客货型,1
16,12,5,17291,,SUNRISE客货型,1
17,12,5,17292,,HXN5321型内燃机车客货型,1
18,12,5,17293,,瑞丰号客货型,1
19,12,5,17294,,2020元旦涂装客货型,1
20,15,4,17295,,2018中秋涂装客货型,1
21,15,4,17296,,2019八一涂装客货型,1
22,15,4,17297,,E655皇室专列客货型,1
23,15,4,17298,,CRH2-043A动车组涂装客货型,1
24,15,4,17299,,2020鼠年涂装客货型,1
25,15,4,17300,,THSR 700T客货型,1
26,15,4,17301,,2019中秋涂装客货型,1
27,15,4,17302,,水晶景观客货型,1
28,15,4,17303,,2019万圣节涂装客货型,1
29,15,4,17304,,2020五一涂装客货型,1
30,15,4,17305,,2020端午节涂装客货型,1
31,15,4,17306,,熊猫空铁客货型,1
32,15,4,17307,,JR九州某列车客货型,1
33,15,4,17308,,E353系超级梓号客货型,1
34,15,4,17309,,九州七星号客货型,1
35,15,4,17310,,长沙磁悬浮客货型,1
36,15,4,17311,,雪月花号客货型,1
37,15,4,17312,,阿苏男孩号客货型,1
38,15,4,17313,,2020圣诞节涂装客货型,1
39,15,4,17314,,五菱宏光MINIEV客货型,1
40,15,4,17315,,跨国互联互通高速列车客货型,1
41,15,4,17316,,洲际高速列车客货型,1
42,15,4,17317,,红巨人铁路救援起重机客货型,1
43,15,4,17318,,HXN5320内燃机车客货型,1
44,15,4,17319,,特急Revaty500客货型,1
45,20,3,17320,,四季岛号客货型,1
46,20,3,17321,,仙后座号高速列车客货型,1
47,20,3,17322,,2019国庆涂装客货型,1
48,20,3,17323,,CR300BF蓝色涂装客货型,1
49,20,3,17324,,2020中秋涂装高速列车客货型,1
50,20,3,17325,,陕煤号电力机车客货型,1
51,20,3,17326,,天狼星号客货型,1
52,20,3,17327,,HXN5C内燃机车客货型,1
53,20,3,17328,,2021圣诞节号客货型,1
54,20,3,17329,,2021中秋涂装客货型,1
55,20,3,17330,,小玉号电力机车客货型,1
56,20,3,17331,,费城不锈钢双层列车客货型,1
57,20,3,17332,,神崋号电力机车客货型,1
58,20,3,17333,,埃维利亚自由号客货型,1
59,20,3,17334,,蒙特利尔双层客货型,1
60,20,3,17335,,光明线号客货型,1
61,20,3,17344,,INDIAN-PACIFIC号客货型,1
62,20,3,17345,,2022国庆涂装客货型,1
63,20,3,17346,,兴国号客货型,1
64,20,3,17347,,冰川列车客货型,1
65,20,3,17348,,机电混动力调车客货型,1
66,20,3,17807,,2022圣诞节涂装客货型,1
67,20,3,17808,,中速磁悬浮客货型,1
68,20,3,17809,,秦旅山海号客货型,1
69,20,3,17810,,四川山地轨道交通客货型,1
70,20,3,17811,,小田急70000客货型,1
71,20,3,17812,,纳帕酒乡火车客货型,1
72,20,3,17813,,清远磁悬浮列车客货型,1
73,20,3,17338,,中国磁悬浮实验型国庆涂装客货型,1
74,20,3,17337,,中国磁悬浮实验型客货型,1
75,20,3,17814,,中国龙中速磁悬浮客货型,1
76,20,3,17339,,2021牛年生肖客货型,1
77,20,3,17336,,TGV Lyria 客货型,1
78,20,3,17340,,2021国庆涂装客货型,1
79,20,3,17341,,TGV PSE 客货型,1
80,20,3,17342,,2022虎年涂装客货型,1
81,20,3,17815,,2023五一涂装客货型,1
82,20,3,17816,,2023兔年涂装客货型,1
83,20,3,17343,,雪国列车客货型,1
84,20,3,19909,,小田急70000客货型,1
85,20,3,19910,,纳帕酒乡火车客货型,1
86,20,3,19911,,清远磁悬浮列车客货型,1
87,20,3,19912,,瑞雪迎春复兴号客货型,1
88,20,3,19913,,36+3特快列车客货型,1
89,20,3,19914,,极光夜高速列车客货型,1
90,20,3,19915,,英国皇家号列车客货型,1
91,20,3,19916,,新型2ES7电力机车客货型,1
92,20,3,19917,,西门子Desiro HC双层列车客货型,1
93,20,3,19918,,2024龙年涂装客货型,1
94,20,3,19919,,悉尼双层列车客货型,1
95,20,3,19920,,必和必拓铁矿火车客货型,1
96,20,3,19921,,波兰 Impuls2列车客货型,1
97,20,3,19922,,伯尔尼纳快车客货型,1
98,20,3,19923,,富士山观景特快列车客货型,1
99,20,3,19924,,澜沧号动车客货型,1
100,20,3,19925,,钢轨打磨车客货型,1
101,20,3,19926,,莫斯科2020列车客货型,1
102,20,3,19927,,EMD AEM-7型电力机车客货型,1
103,20,3,19928,,400系新型电车客货型,1
104,20,3,19929,,Travca机车客货型,1
105,20,3,19930,,玲龙号磁浮列车客货型,1
106,20,3,19931,,瑞士联邦铁路 BR193客货型,1
107,20,3,19932,,AeroLiner3000客货型,1
108,20,3,19933,,2025蛇年涂装客货型,1
109,20,3,19934,,俄罗斯ESh2客货型,1
110,20,3,19935,,飞龙复兴号客货型,1
111,20,3,19936,,金色山口列车客货型,1
112,20,3,19937,,KCIC400AF动车组客货型,1
