col_0,col_1,col_2,col_3
1,18972,500绿宝石,emerald.png
2,16105,成田特快E259客货型,
3,16108,CR400BF国庆涂装客货型,
4,16111,英铁Class395客货型,
5,16112,CRH5玫瑰号客货型,
6,16115,端午龙舟火车客货型,
7,16116,意大利客货型,
8,16119,狗年生肖火车客货型,
9,16122,CRH2-2296动车组客货型,
10,16123,JR磁悬浮客货型,
11,16125,DD磁悬浮八一涂装版客货型,
12,16128,DD磁悬浮红旗版客货型,
13,16131,MLU001磁浮列车客货型,
14,16134,KTX2客货型,
15,16137,HXN5330型内燃机车客货型,
16,16140,复兴号国庆涂装客货型,
17,16143,磁悬浮客货型,
18,16146,西门子Velaro RUS CHS8客货型,
19,16149,复兴号客货型,
20,16150,新干线EVA客货型,
21,16153,2018国庆涂装客货型,
22,16156,E657系电车客货型,
23,16159,JR九州787特急客货型 ,
24,16162,CR200J型复兴号动车组客货型,
25,16165,大力士客货型,
26,16168,2018圣诞涂装客货型,
27,16171,2018双十一涂装客货型,
28,16174,SUNRISE客货型,
29,16177,CRH2-168A动车组客货型,
30,16180,世界杯涂装火车客货型,
31,16183,2019五一涂装客货型,
32,16186,瑞丰号客货型,
33,16189,2020元旦涂装客货型,
34,14811,OUIGO客货型,
35,14601,2019春节涂装客货型,
36,14878,HXN5321型内燃机车客货型,
37,14471,2018中秋涂装客货型,
38,14968,2019八一涂装客货型,
39,14631,E655皇室专列客货型,
40,14998,2019中秋涂装客货型,
41,15058,2019万圣节涂装客货型,
42,15164,2020鼠年涂装客货型,
43,15224,熊猫空铁客货型,
44,15284,2020五一涂装客货型,
45,15254,JR九州某列车客货型,
46,15344,CRH2-043A动车组涂装客货型,
47,15374,2020端午节涂装客货型,
48,14028,长沙磁悬浮客货型,
49,16192,THSR 700T客货型,
50,16195,水晶景观客货型,
51,16198,TGV Lyria  客货型,
52,16201,E353系超级梓号客货型,
53,16204,九州七星号客货型,
54,16207,雪月花号客货型,
55,16210,阿苏男孩号客货型,
56,15590,2020圣诞涂装客货型,
57,16288,跨国互联互通高速列车客货型,
58,16354,HXN5320内燃机车客货型,
59,16390,特急Revaty500客货型,
60,16423,仙后座高速列车客货型,
61,15028,2019国庆涂装客货型,
62,15134,四季岛号客货型,
63,15314,CR400BF蓝色涂装客货型,
64,16051,陕煤号电力机车客货型,
65,16213,2020中秋涂装高速列车客货型,
66,16533,HXN5C内燃机车客货型,
67,16637,天狼星号客货型,
68,16233,洲际高速列车客货型,
69,16688,2021圣诞节号客货型,
70,16459,2021中秋涂装客货型,
71,16255,中国磁悬浮实验型客货型,
72,16216,中国磁悬浮实验型国庆涂装客货型,
73,16018,2021牛年生肖客货型,
74,16492,2021国庆涂装客货型,
75,16721,神崋号电力机车客货型,
76,16754,2022虎年涂装客货型,
77,14781,雪国列车客货型,
78,16920,小玉号电车客货型,
79,16921,费城不锈钢双层列车客货型,
80,16922,TGVPSE客货型,
81,17147,埃维利亚自由号客货型,
82,17148,蒙特利尔双层客货型,
83,17149,光明线号客货型,
84,17150,INDIAN-PACIFIC号客货型,
85,17151,2022国庆涂装客货型,
86,17152,兴国号客货型,
87,17427,冰川列车客货型,
88,17428,机电混动力调车客货型,
89,17429,中国龙中速磁悬浮客货型,
90,17430,2023兔年涂装客货型,
91,17647,中速磁悬浮客货型,
92,17648,秦旅山海号客货型,
93,17649,四川山地轨道交通客货型,
94,17650,2023五一涂装客货型,
95,18260,小田急70000客货型,
96,18261,纳帕酒乡火车客货型,
97,18262,清远磁悬浮列车客货型,
98,18263,瑞雪迎春复兴号客货型,
99,18264,36+3特快列车客货型,
100,18265,极光夜高速列车客货型,
101,18266,英国皇家号列车客货型,
102,18267,新型2ES7电力机车客货型,
103,18268,西门子Desiro HC双层列车客货型,
104,18269,2024龙年涂装客货型,
105,18270,悉尼双层列车客货型,
106,19091,必和必拓铁矿火车客货型,
107,19092,波兰 Impuls2列车客货型,
108,19093,伯尔尼纳快车客货型,
109,19488,富士山观景特快列车客货型,
110,19489,澜沧号动车客货型,
111,19490,钢轨打磨车客货型,
112,19491,莫斯科2020列车客货型,
113,19492,EMD AEM-7型电力机车客货型,
114,19493,400系新型电车客货型,
115,19695,Travca机车客货型,
116,19696,玲龙号磁浮列车客货型,
117,19697,瑞士联邦铁路 BR193客货型,
118,19698,AeroLiner3000客货型,
119,19699,2025蛇年涂装客货型,
120,19861,俄罗斯ESh2客货型,
121,19862,飞龙复兴号客货型,
122,19863,金色山口列车客货型,
123,19864,KCIC400AF动车组客货型,
