col_0,col_1,col_2,col_3,col_4
1,10,18973,500绿宝石,emerald.png
2,10,16105,成田特快E259客货型,
3,10,16108,CR400BF国庆涂装客货型,
4,10,16111,英铁Class395客货型,
5,10,16112,CRH5玫瑰号客货型,
6,10,16115,端午龙舟火车客货型,
7,10,16116,意大利客货型,
8,10,16119,狗年生肖火车客货型,
9,10,16122,CRH2-2296动车组客货型,
10,10,16123,JR磁悬浮客货型,
11,10,16125,DD磁悬浮八一涂装版客货型,
12,10,16128,DD磁悬浮红旗版客货型,
13,10,16131,MLU001磁浮列车客货型,
14,10,16134,KTX2客货型,
15,10,16137,HXN5330型内燃机车客货型,
16,10,16140,复兴号国庆涂装客货型,
17,10,16143,磁悬浮客货型,
18,10,16146,西门子Velaro RUS CHS8客货型,
19,10,16149,复兴号客货型,
20,10,16150,新干线EVA客货型,
21,10,16153,2018国庆涂装客货型,
22,10,16156,E657系电车客货型,
23,10,16159,JR九州787特急客货型 ,
24,10,16162,CR200J型复兴号动车组客货型,
25,10,16165,大力士客货型,
26,10,16168,2018圣诞涂装客货型,
27,10,16171,2018双十一涂装客货型,
28,10,16174,SUNRISE客货型,
29,10,16177,CRH2-168A动车组客货型,
30,10,16180,世界杯涂装火车客货型,
31,10,16183,2019五一涂装客货型,
32,10,16186,瑞丰号客货型,
33,10,16189,2020元旦涂装客货型,
34,10,14811,OUIGO客货型,
35,10,14601,2019春节涂装客货型,
36,10,14878,HXN5321型内燃机车客货型,
37,10,14471,2018中秋涂装客货型,
38,10,14968,2019八一涂装客货型,
39,10,14631,E655皇室专列客货型,
40,10,14998,2019中秋涂装客货型,
41,10,15058,2019万圣节涂装客货型,
42,10,15164,2020鼠年涂装客货型,
43,10,15224,熊猫空铁客货型,
44,10,15284,2020五一涂装客货型,
45,10,15254,JR九州某列车客货型,
46,10,15344,CRH2-043A动车组涂装客货型,
47,10,15374,2020端午节涂装客货型,
48,10,14028,长沙磁悬浮客货型,
49,10,16192,THSR 700T客货型,
50,10,16195,水晶景观客货型,
51,10,16198,TGV Lyria  客货型,
52,10,16201,E353系超级梓号客货型,
53,10,16204,九州七星号客货型,
54,10,16207,雪月花号客货型,
55,10,16210,阿苏男孩号客货型,
56,10,15590,2020圣诞涂装客货型,
57,10,16288,跨国互联互通高速列车客货型,
58,10,16354,HXN5320内燃机车客货型,
59,10,16390,特急Revaty500客货型,
60,10,16423,仙后座高速列车客货型,
61,10,15028,2019国庆涂装客货型,
62,10,15134,四季岛号客货型,
63,10,15314,CR400BF蓝色涂装客货型,
64,10,16051,陕煤号电力机车客货型,
65,10,16213,2020中秋涂装高速列车客货型,
66,10,16533,HXN5C内燃机车客货型,
67,10,16637,天狼星号客货型,
68,10,16233,洲际高速列车客货型,
69,10,16688,2021圣诞节号客货型,
70,10,16459,2021中秋涂装客货型,
71,10,16255,中国磁悬浮实验型客货型,
72,10,16216,中国磁悬浮实验型国庆涂装客货型,
73,10,16018,2021牛年生肖客货型,
74,10,16492,2021国庆涂装客货型,
75,10,16721,神崋号电力机车客货型,
76,10,16754,2022虎年涂装客货型,
77,10,14781,雪国列车客货型,
78,10,16920,小玉号电车客货型,
79,10,16921,费城不锈钢双层列车客货型,
80,10,16922,TGVPSE客货型,
81,10,17147,埃维利亚自由号客货型,
82,10,17148,蒙特利尔双层客货型,
83,10,17149,光明线号客货型,
84,10,17150,INDIAN-PACIFIC号客货型,
85,10,17151,2022国庆涂装客货型,
86,10,17152,兴国号客货型,
87,10,17431,冰川列车客货型,
88,10,17432,机电混动力调车客货型,
89,10,17433,中国龙中速磁悬浮客货型,
90,10,17434,2023兔年涂装客货型,
91,10,17643,中速磁悬浮客货型,
92,10,17644,秦旅山海号客货型,
93,10,17645,四川山地轨道交通客货型,
94,10,17646,2023五一涂装客货型,
95,10,18076,小田急70000客货型,
96,10,18077,纳帕酒乡火车客货型,
97,10,18078,清远磁悬浮列车客货型,
98,10,18079,瑞雪迎春复兴号客货型,
99,10,18080,36+3特快列车客货型,
100,10,18081,极光夜高速列车客货型,
101,10,18271,英国皇家号列车客货型,
102,10,18272,新型2ES7电力机车客货型,
103,10,18273,西门子Desiro HC双层列车客货型,
104,10,18274,2024龙年涂装客货型,
105,10,18275,悉尼双层列车客货型,
106,10,19094,必和必拓铁矿火车客货型,
107,10,19095,波兰 Impuls2列车客货型,
108,10,19096,伯尔尼纳快车客货型,
109,10,19494,富士山观景特快列车客货型,
110,10,19495,澜沧号动车客货型,
111,10,19496,钢轨打磨车客货型,
112,10,19497,莫斯科2020列车客货型,
113,10,19498,EMD AEM-7型电力机车客货型,
114,10,19499,400系新型电车客货型,
115,10,19700,Travca机车客货型,
116,10,19701,玲龙号磁浮列车客货型,
117,10,19702,瑞士联邦铁路 BR193客货型,
118,10,19703,AeroLiner3000客货型,
119,10,19704,2025蛇年涂装客货型,
120,10,19865,俄罗斯ESh2客货型,
121,10,19866,飞龙复兴号客货型,
122,10,19867,金色山口列车客货型,
123,10,19868,KCIC400AF动车组客货型,
