col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,3,1944,4,1,90,1,1,0
1,3,1945,4,1,80,1,1,0
1,3,1946,4,1,80,1,1,0
1,3,1947,4,1,90,1,1,0
1,3,1948,4,1,80,1,1,0
1,3,1949,4,1,80,1,1,0
1,3,1950,4,1,80,1,1,0
1,3,1951,4,1,90,1,1,0
1,3,1952,4,1,80,1,1,0
1,3,1953,4,1,80,1,1,0
1,3,1954,4,1,80,1,1,0
1,3,1955,4,1,90,1,1,0
1,8,0,3,0,1000,150,150,0
2,1,615,4,3,1000,1,1,0
3,3,1704,4,1,90,1,1,0
3,3,1705,4,1,80,1,1,0
3,3,1706,4,1,80,1,1,0
3,3,1707,4,1,90,1,1,0
3,3,1708,4,1,80,1,1,0
3,3,1709,4,1,80,1,1,0
3,3,1710,4,1,80,1,1,0
3,3,1711,4,1,90,1,1,0
3,3,1712,4,1,80,1,1,0
3,3,1713,4,1,80,1,1,0
3,3,1714,4,1,80,1,1,0
3,3,1715,4,1,90,1,1,0
3,8,0,3,0,1000,130,130,0
4,1,555,4,3,1000,1,1,0
5,3,1230,4,1,90,1,1,0
5,3,1231,4,1,80,1,1,0
5,3,1232,4,1,80,1,1,0
5,3,1233,4,1,90,1,1,0
5,3,1254,4,1,80,1,1,0
5,3,1255,4,1,80,1,1,0
5,3,1256,4,1,80,1,1,0
5,3,1257,4,1,90,1,1,0
5,3,1258,4,1,80,1,1,0
5,3,1259,4,1,80,1,1,0
5,3,1260,4,1,80,1,1,0
5,3,1261,4,1,90,1,1,0
5,8,0,3,0,1000,100,100,0
6,1,461,4,3,1000,1,1,0
7,3,1562,4,1,90,1,1,0
7,3,1563,4,1,80,1,1,0
7,3,1564,4,1,80,1,1,0
7,3,1565,4,1,90,1,1,0
7,3,1566,4,1,80,1,1,0
7,3,1567,4,1,80,1,1,0
7,3,1568,4,1,80,1,1,0
7,3,1569,4,1,90,1,1,0
7,3,1570,4,1,80,1,1,0
7,3,1571,4,1,80,1,1,0
7,3,1572,4,1,80,1,1,0
7,3,1573,4,1,90,1,1,0
7,8,0,3,0,1000,80,80,0
8,1,546,4,3,1000,1,1,0
9,3,1414,4,1,90,1,1,0
9,3,1415,4,1,80,1,1,0
9,3,1416,4,1,80,1,1,0
9,3,1417,4,1,90,1,1,0
9,3,1418,4,1,80,1,1,0
9,3,1419,4,1,80,1,1,0
9,3,1420,4,1,80,1,1,0
9,3,1421,4,1,90,1,1,0
9,3,1422,4,1,80,1,1,0
9,3,1423,4,1,80,1,1,0
9,3,1424,4,1,80,1,1,0
9,3,1425,4,1,90,1,1,0
9,8,0,3,0,1000,50,50,0
10,1,509,4,3,1000,1,1,0
11,3,1692,4,1,90,1,1,0
11,3,1693,4,1,80,1,1,0
11,3,1694,4,1,80,1,1,0
11,3,1695,4,1,90,1,1,0
11,3,1696,4,1,80,1,1,0
11,3,1697,4,1,80,1,1,0
11,3,1698,4,1,80,1,1,0
11,3,1699,4,1,90,1,1,0
11,3,1700,4,1,80,1,1,0
11,3,1701,4,1,80,1,1,0
11,3,1702,4,1,80,1,1,0
11,3,1703,4,1,90,1,1,0
11,8,0,3,0,1000,35,35,0
12,1,552,4,3,1000,1,1,0
13,3,1194,4,1,250,1,1,0
13,3,1195,4,1,250,1,1,0
13,3,1196,4,1,250,1,1,0
13,3,1197,4,1,250,1,1,0
13,8,0,3,0,1000,25,25,0
14,1,452,4,3,1000,1,1,0
15,3,1788,4,1,84,1,1,0
15,3,1789,4,1,83,1,1,0
15,3,1790,4,1,83,1,1,0
15,3,1791,4,1,84,1,1,0
15,3,1792,4,1,83,1,1,0
15,3,1793,4,1,83,1,1,0
15,3,1794,4,1,84,1,1,0
15,3,1795,4,1,83,1,1,0
15,3,1796,4,1,84,1,1,0
15,3,1797,4,1,83,1,1,0
15,3,1798,4,1,83,1,1,0
15,3,1799,4,1,83,1,1,0
16,3,2004,4,1,84,1,1,0
16,3,2005,4,1,83,1,1,0
16,3,2006,4,1,83,1,1,0
16,3,2007,4,1,84,1,1,0
16,3,2008,4,1,83,1,1,0
16,3,2009,4,1,83,1,1,0
16,3,2010,4,1,84,1,1,0
16,3,2011,4,1,83,1,1,0
16,3,2012,4,1,84,1,1,0
16,3,2013,4,1,83,1,1,0
16,3,2014,4,1,83,1,1,0
16,3,2015,4,1,83,1,1,0
17,3,2148,4,1,84,1,1,0
17,3,2149,4,1,83,1,1,0
17,3,2150,4,1,83,1,1,0
17,3,2151,4,1,84,1,1,0
17,3,2152,4,1,83,1,1,0
17,3,2153,4,1,83,1,1,0
17,3,2154,4,1,84,1,1,0
17,3,2155,4,1,83,1,1,0
17,3,2156,4,1,84,1,1,0
17,3,2157,4,1,83,1,1,0
17,3,2158,4,1,83,1,1,0
17,3,2159,4,1,83,1,1,0
100,9,0,2,0,1000,1500,1500,0
101,8,0,3,0,1000,3,3,0
102,9,0,2,0,1000,1500,1500,0
103,9,0,2,0,1000,3000,3000,0
104,7,0,1,0,1000,6000,6000,0
105,8,0,3,0,1000,6,6,0
106,9,0,2,0,1000,2000,2000,0
107,8,0,3,0,1000,8,8,0
108,7,0,1,0,1000,15000,15000,0
109,7,0,1,0,1000,50000,50000,0
110,9,0,2,0,1000,2000,2000,0
111,8,0,3,0,1000,150,150,0
112,7,0,1,0,1000,300000,300000,0
113,7,0,1,0,1000,300000,300000,0
114,7,0,1,0,1000,100000,100000,0
115,7,0,1,0,1000,15000,15000,0
116,8,0,3,0,1000,50,50,0
117,7,0,1,0,1000,15000,15000,0
118,8,0,3,0,1000,60,60,0
200,8,0,0,0,1000,10,10,0
201,8,0,0,0,1000,10,10,0
202,8,0,0,0,1000,10,10,0
203,8,0,0,0,1000,10,10,0
204,8,0,3,0,1000,6,6,0
205,8,0,3,0,1000,8,8,0
206,8,0,3,0,1000,10,10,0
208,1,537,4,0,1000,1,1,0
300,3,80,4,1,5,1,1,0
300,3,81,4,1,5,1,1,0
300,3,83,4,1,5,1,1,0
300,3,104,4,1,5,1,1,0
300,3,105,4,1,5,1,1,0
