col_0,col_1,col_2,col_3,col_4,col_5,col_6
1,-1911,1,400,690,100,1
1,-1910,1,400,690,100,1
1,-1909,1,400,690,100,1
1,-1908,1,400,690,100,1
1,-1847,0,360,720,100,1
1,-1846,0,360,720,100,1
1,-1845,0,360,720,100,1
1,-1844,0,360,720,100,1
1,229,0,1000,1850,50,0
1,232,1,140,260,50,0
1,247,0,450,580,50,0
1,256,1,42,78,50,0
1,257,0,800,1480,50,0
1,284,1,42,78,50,0
1,295,1,70,130,50,0
1,298,1,70,130,50,0
1,313,1,28,52,50,0
1,331,0,1100,2040,50,0
1,334,1,175,325,50,0
1,358,1,42,78,50,0
1,416,1,1000,1850,50,0
1,440,0,1100,2040,50,0
1,441,0,1100,2040,50,0
1,448,1,210,390,50,0
1,450,1,42,78,50,0
1,453,1,105,195,50,0
1,454,1,105,195,50,0
1,457,1,42,78,50,0
1,492,1,70,130,50,0
1,494,1,70,130,50,0
1,499,0,1200,2220,50,0
1,507,1,210,390,50,0
1,508,1,210,390,50,0
1,509,1,210,390,50,0
1,550,1,210,390,50,0
1,551,1,210,390,50,0
1,552,1,210,390,50,0
1,571,0,1600,2970,50,0
1,572,0,1600,2970,50,0
1,573,0,1600,2970,50,0
1,592,1,546,1014,50,0
1,593,1,546,1014,50,0
1,594,1,546,1014,50,0
1,616,1,546,1014,50,0
1,617,1,546,1014,50,0
1,618,1,546,1014,50,0
1,637,1,686,1274,50,0
1,638,1,686,1274,50,0
1,639,1,686,1274,50,0
2,-1911,1,400,690,100,1
2,-1910,1,400,690,100,1
2,-1909,1,400,690,100,1
2,-1908,1,400,690,100,1
2,-1847,0,360,720,100,1
2,-1846,0,360,720,100,1
2,-1845,0,360,720,100,1
2,-1844,0,360,720,100,1
2,58,1,28,52,50,0
2,223,0,800,1480,50,0
2,238,0,290,350,50,0
2,246,1,42,78,50,0
2,253,1,28,52,50,0
2,258,1,28,52,50,0
2,275,1,42,78,50,0
2,285,1,42,78,50,0
2,288,0,1100,2040,50,0
2,302,1,28,52,50,0
2,304,1,175,325,50,0
2,305,1,70,130,50,0
2,306,1,70,130,50,0
2,314,1,42,78,50,0
2,330,0,1100,2040,50,0
2,357,1,175,325,50,0
2,363,1,105,195,50,0
2,381,1,105,195,50,0
2,422,0,1100,2040,50,0
2,427,1,105,195,50,0
2,439,0,1100,2040,50,0
2,449,1,105,195,50,0
2,456,1,28,52,50,0
2,459,1,140,260,50,0
2,484,1,140,260,50,0
2,485,0,1100,2040,50,0
2,507,0,1950,3620,50,0
2,508,0,1950,3620,50,0
2,509,0,1950,3620,50,0
2,510,1,140,260,50,0
2,511,1,140,260,50,0
2,512,1,140,260,50,0
2,532,1,140,260,50,0
2,533,1,140,260,50,0
2,534,1,140,260,50,0
2,553,1,686,1274,50,0
2,554,1,686,1274,50,0
2,555,1,686,1274,50,0
2,574,1,546,1014,50,0
2,575,1,546,1014,50,0
2,576,1,546,1014,50,0
2,595,1,546,1014,50,0
2,596,1,546,1014,50,0
2,597,1,546,1014,50,0
2,619,1,546,1014,50,0
2,620,1,546,1014,50,0
2,621,1,546,1014,50,0
2,643,1,686,1274,50,0
2,644,1,686,1274,50,0
2,645,1,686,1274,50,0
3,-1911,1,400,690,100,1
3,-1910,1,400,690,100,1
3,-1909,1,400,690,100,1
3,-1908,1,400,690,100,1
3,-1847,0,360,720,100,1
3,-1846,0,360,720,100,1
3,-1845,0,360,720,100,1
3,-1844,0,360,720,100,1
3,60,1,42,78,50,0
3,65,1,42,78,50,0
3,205,0,850,1570,50,0
3,230,1,140,260,50,0
3,234,0,1400,2600,50,0
3,240,0,450,580,50,0
3,266,1,70,130,50,0
3,289,0,1100,2040,50,0
3,296,0,850,1570,50,0
3,308,1,28,52,50,0
3,311,1,28,52,50,0
3,312,1,28,52,50,0
3,315,1,42,78,50,0
3,339,0,850,1570,50,0
3,355,1,105,195,50,0
3,374,1,42,78,50,0
3,379,1,70,130,50,0
3,382,1,42,78,50,0
3,400,1,42,78,50,0
3,431,1,56,104,50,0
3,451,1,42,78,50,0
3,473,1,140,260,50,0
3,497,1,140,260,50,0
3,500,0,1200,2220,50,0
3,513,1,140,260,50,0
3,514,1,140,260,50,0
3,515,1,140,260,50,0
3,556,1,406,754,50,0
3,557,1,406,754,50,0
3,558,1,406,754,50,0
3,559,0,2200,4000,50,0
3,560,0,2200,4000,50,0
3,561,0,2200,4000,50,0
3,577,1,266,494,50,0
3,578,1,266,494,50,0
3,579,1,266,494,50,0
3,599,1,546,1014,50,0
3,600,1,546,1014,50,0
3,601,1,546,1014,50,0
3,622,1,546,1014,50,0
3,623,1,546,1014,50,0
3,624,1,546,1014,50,0
3,646,1,546,1014,50,0
3,647,1,546,1014,50,0
3,648,1,546,1014,50,0
4,-1911,1,400,690,100,1
4,-1910,1,400,690,100,1
4,-1909,1,400,690,100,1
4,-1908,1,400,690,100,1
4,-1847,0,360,720,100,1
4,-1846,0,360,720,100,1
4,-1845,0,360,720,100,1
4,-1844,0,360,720,100,1
4,204,0,1621,1756,50,0
4,206,0,850,1570,50,0
4,239,0,290,350,50,0
4,251,1,42,78,50,0
4,254,1,28,52,50,0
4,267,1,70,130,50,0
4,286,1,28,52,50,0
4,301,0,800,1480,50,0
4,322,1,140,260,50,0
4,325,1,70,130,50,0
4,333,1,42,78,50,0
4,336,1,105,195,50,0
4,338,1,105,195,50,0
4,344,1,42,78,50,0
4,345,1,42,78,50,0
4,410,0,1000,1850,50,0
