col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,100000金币包,100000金币包,60,1,10,3,2,1
2,运输直升机货运型,运输直升机货运型,200,1,64,1,1,2
3,运输直升机客货两用型,运输直升机客货两用型,200,1,64,1,1,3
4,厢式大卡车客货两用型,厢式大卡车客货两用型,220,1,64,1,1,4
5,航天飞机客运型,航天飞机客运型,234,1,64,1,1,5
6,航天飞机客货两用型,航天飞机客货两用型,234,1,64,1,1,6
7,灰姑娘南瓜车货两用型,灰姑娘南瓜车货两用型,234,1,64,1,1,7
8,美丽公主车客货两用型,美丽公主车客货两用型,260,1,64,1,1,8
11,300000金币包,300000金币包,120,1,10,3,2,11
12,1000000金币包,1000000金币包,250,1,10,3,2,12
13,5000000金币包,5000000金币包,500,1,10,3,2,13
14,10人联盟创建费,创建10人火车大联盟工本费！,30,1,1,5,1,0
15,20人联盟创建费,创建20人火车大联盟工本费！,50,1,1,5,1,0
16,30人联盟创建费,创建30人火车大联盟工本费！,80,1,1,5,1,0
17,40人联盟创建费,创建40人火车大联盟工本费！,120,1,1,5,1,0
18,50人联盟创建费,创建50人火车大联盟工本费！,180,1,1,5,1,0
19,60人联盟创建费,创建60人火车大联盟工本费！,260,1,1,5,1,0
20,70人联盟创建费,创建70人火车大联盟工本费！,400,1,1,5,1,0
21,80人联盟创建费,创建80人火车大联盟工本费！,700,1,1,5,1,0
22,90人联盟创建费,创建90人火车大联盟工本费！,1000,1,1,5,1,0
23,100人联盟创建费,创建100人火车大联盟工本费！,1500,1,1,5,1,0
24,10人联盟管理费,10人联盟的每月管理费,15,1,1000,6,2,0
25,20人联盟管理费,20人联盟的每月管理费,25,1,1000,6,2,0
26,30人联盟管理费,30人联盟的每月管理费,40,1,1000,6,2,0
27,40人联盟管理费,40人联盟的每月管理费,60,1,1000,6,2,0
28,50人联盟管理费,50人联盟的每月管理费,90,1,1000,6,2,0
29,60人联盟管理费,60人联盟的每月管理费,130,1,1000,6,2,0
