col_0,col_1,col_2,col_3,col_4,col_5,col_6
100,没有足够的钱,0,金币不足,你当前的金币数量不足,可以宝石购买金币。,
101,没有足够的点卷,0,点券不足,你当前的点券数量不足,可以宝石购买点卷。,
102,没有足够的宝石,0,宝石不足,你当前的宝石数量不足,请充值购买宝石。,
103,空指针错误,1,金币数据错误,空指针错误,可试试关闭游戏，重新进入。,
104,"货币修改,钱变为负值",1,金币数据错误,"货币修改,钱变为负值",可试试关闭游戏，重新进入。,
105,"货币修改,溢出",1,金币数据错误,"货币修改,溢出",可试试关闭游戏，重新进入。,
106,未知原因错误,1,金币数据错误,未知原因错误,可试试关闭游戏，重新进入。,
109,没有足够的红宝石,0,红宝石不足,你当前的红宝石数量不足,您可以使用蓝宝石购买红宝石。,
110,荣誉不足,0,购买失败,荣誉不足,参加联盟赛可以获得荣誉值,
111,代金券数量不足,0,合成失败,代金券数量不足,,
112,宝石不足,0,购买失败,宝石不足,请进行充值,
113,绿宝石不够,0,绿宝石不足,你当前的绿宝石数量不足,完成贸易中心的任务可获得绿宝石,
114,配件材料不够,0,火车配件耗材不足,你当前的火车耗材数量不足,出售火车配件可获得火车配件耗材,
300,积分不足,0,积分不足,你当前的积分不足,充值后可获得积分,
301,次数不足,0,次数不足,你当前的抽奖次数不足,请明天再来,
307,购物券为0,0,购买失败,你的购物券为0,请进行充值,
310,购物券为0,0,购买失败,你的购物券为0,请进行充值,
1001,找不到这辆车,1,发车数据错误,发车，找不到这辆车,可试试关闭游戏，重新进入。,
1002,已经达到运行机车数量上限,0,发车失败,火车车库空间已满。,请在主界面下方点击“火车车库”图标，进入”火车车库“界面内购买机车仓库位置。,
1003,没有找到指定的货物,1,发车数据错误,没有找到指定的货物,可试试关闭游戏，重新进入。,
1004,货物已经在别的车上,1,发车数据错误,货物已经在别的车上,可试试关闭游戏，重新进入。,
1005,货物不在本站,1,发车数据错误,货物不在本站,可试试关闭游戏，重新进入。,
1006,找不到指定的货物,1,发车数据错误,找不到指定的货物,可试试关闭游戏，重新进入。,
1007,货物类型与机车不符,1,发车数据错误,货物类型与机车不符,可试试关闭游戏，重新进入。,
1008,滞留货物过多,0,放置货物或旅客失败,车站中转量达到上限。,"无法存放旅客和货物，请尽快运出带有""中转""标志的旅客和货物",
1009,机车已经在运行中,1,发车数据错误,"发出的车,机车已经在运行中",可试试关闭游戏，重新进入。,
1010,运行时间为0,1,发车数据错误,运行时间为0,可试试关闭游戏，重新进入。,
1012,没电,0,发车失败,电力不足，火车无法行驶。,你可以使用宝石购买电力，或者等待第二天电力恢复。,
1013,找不到指定的车站,1,发车数据错误,找不到指定的车站,可试试关闭游戏，重新进入。,
1014,机车class高于车站,0,发车失败,机车太大了无法停靠小站。,二星机车可以停靠在450万人口以上的车站，，三星机车可以停靠在800万人口以上的城市。,
1015,超出运行范围,0,发车失败,超出本车行驶的最大范围,请点击“火车属性”升级机车的“距离“属性或购买行驶范围更大的火车。,
1016,从车站中取出货物失败,1,发车数据错误,从车站中取出货物失败,可试试关闭游戏，重新进入。,
1018,机车上货前已经有货,1,发车数据错误,机车上货前已经有货,可试试关闭游戏，重新进入。,
1019,天气事件,0,发车失败,前方车站因天气原因暂时关闭,请等待天气好转后在发车。,
1020,升级事件,0,发车失败,车站升级中，火车无法停靠。,请等待升级结束即可使用。,
1021,重复的货物,1,发车数据错误,重复的货物,可试试关闭游戏，重新进入。,
1022,货物与车不配(类型),1,发车数据错误,货物与车不配,可试试关闭游戏，重新进入。,
1023,没有钱就发车,0,发车失败,你当前的金币数量不足。,不足以支付本次火车的运行消耗，您可以购买金币。,
1024,发车路点超过20个,0,发车失败,发车目的地数量达到上限,机车经过的车站不能超过20个，请重新选择目的地。,
1025,车上装备司机，运输中转客货,1,发车失败,装备司机的机车不能运输中转客货,请选择正常客货进行运输,
1026,用车队运中转,0,发车失败,1级以上的车队不能运输中转客货,只能使用普通的0级车队运输中转客货,
1040,行驶中不能切换车库,0,设置失败,机车正在行驶中无法更换车库,请等待火车到站停止后在进行更换,
1050,当天发过车，不能在挂机,0,挂机失败,当天发过的车，不能进行挂机,请明天在进行挂机操作,
1051,不在挂机车库的车进行挂机,0,挂机失败,当前车不在挂机车库，无法发车,挂机发车只能选择在挂机车库中的机车,
1052,没有设置路线不能挂机发车,0,挂机失败,未设置挂机发车路线，无法发车,请设置挂机路线后在进行挂机发车,
1053,挂机的车不在起始站或终点站,0,挂机失败,火车停靠车站错误，无法发车,挂机火车只有停靠在挂机路线的起始站或终点站才能发车,
1054,当天已经挂机过不能在挂机,0,挂机失败,本车今天已经使用过挂机，无法发车,挂机每天只能使用1次，请明天再使用,
1055,23:55-00:00不能挂机发车,0,挂机失败,火车保养中无法发车,每天23:55-00:00为火车保养时间，不能挂机发车,
1056,满电不够跑一次的，不能挂机,0,挂机失败,火车电量不足，无法发车,请重新设置挂机路线，选择与机车电量匹配的路线,
1057,行驶时间太长超过24小时,0,挂机失败,火车行驶时间太长，无法发车,行驶时间超过24小时的机车不能进行挂机发车,
1058,路线不存在，不能挂机,0,挂机失败,没有找到挂机路线，无法发车,请重新设置挂机路线再进行发车,
1059,挂机时间不足，不能挂机,0,挂机失败,挂机时间不足，无法发车,请购买挂机时间，再进行发车,
1100,机车没有运行,1,机车到站数据错误,机车没有运行,可试试关闭游戏，重新进入。,
1101,没有到达时间,1,机车到站数据错误,没有到达时间,可试试关闭游戏，重新进入。,
1103,车辆到站路点错误,0,数据错误,"车辆到站路点错误, 需要联系客服解决",可试试关闭游戏，重新进入。,
1120,业绩分不足,0,购买失败,业绩分不足,,
1121,业绩商品不足,0,购买失败,商品不足,,
1122,业绩基础分未刷新,0,操作失败,请稍后再试,,
1140,天梯积分不足,0,购买失败,天梯积分不足,天梯等级越高，获得的积分越多哟,
1141,天梯积分商品不足,0,购买失败,商品不足,已经被你买空啦，下次再来吧,
1142,天梯等级不足,0,购买失败,天梯等级不足,需要天梯等级达到限制才可以购买,
1143,新一轮比赛的第一天23:30~0:00不能买,0,购买失败,商店休息中,新一轮开始的第一天23:00~0:00商店休息,
1150,VIP商品数量不足,0,购买失败,商品不足,请等刷新后再来购买,
1151,VIP等级不足,0,购买失败,VIP等级不足,请您提升VIP等级后再试,
1152,此人不存在,0,赠送失败,该玩家不存在,请您核对对方的公司号后重新尝试,
1153,本周充值不到100,0,购买失败,本周充值额度不足,本周充值金额没有达到200钻石，请您充值后再试,
1160,不在活动时间,0,操作失败,活动尚未开始,不在活动时间内，请等活动开始再进行操作,
1161,商品数量不足,0,购买失败,商品不足,已经被你买空啦，下次再来吧,
1162,充值积分不足无法兑换,0,操作失败,累计充值金额不足,需要达到累计充值金额才可以购买,
1170,成就等级已满,0,升级失败,成就等级已满,,
1171,车的条件没有达到,0,升级失败,条件不足,需要拥有对应的车型才可升级成就,
1172,成就等级不足,0,未满足成就等级,你的成就等级不足,请提升成就等级后再进行合成特殊车厢,
1180,不在活动时间,0,购买失败,不在活动时间,,
1181,每日充值积分不足,0,购买失败,充值钻石不足,充值的钻石需要达到要求才可购买,
1182,商品数量不足,0,购买失败,商品剩余数量不足,,
1184,该物品无法赠送,0,该物品无法赠送,该物品无法赠送,,
1190,账号已经存在,0,该账号无法使用,该账号已存在,请修改后再试,
1191,账号不存在,0,该账号无法使用,该账号不存在,请重新输入,
1192,账号存在非法字符,0,该账号无法使用,存在非法字符,请修改后再试,
1193,账号不对,0,该账号无法使用,存在非法字符,请修改后再试,
1194,密码不对,0,该密码无法使用,存在非法字符,请修改后再试,
1195,账号字数不对,0,该账号无法使用,账号长度不符合要求,请修改后再试,
1196,密码字数不对,0,该密码无法使用,密码长度不符合要求,请修改后再试,
1200,机车没有运行,1,机车加速到站数据错误,机车没有运行,可试试关闭游戏，重新进入。,
1201,没有到达时间,1,机车加速到站数据错误,没有到达时间,可试试关闭游戏，重新进入。,
1210,货数量不足,0,原料数量不足,你当前的原料数量不足,,
1211,车上新货的位置不足，货物不能上车,0,装载货物失败,特殊车厢仓位满了,无法装载货物,
1212,原料只能在自贸区卸货,0,卸货失败,原料货物只能在上海站卸货,,
1213,货物无法卸下，此城市没有卸此货的任务,0,卸货失败,卸货城市错误,只能在贸易任务指定城市卸货,
1214,仓库位置不足,0,存储货物失败,仓库位置已满无法存储货物,请升级仓库扩充仓库位置,
1215,货物类型与车箱类型不符，不能上车,0,装载货物失败,装载货物类型与车厢类型不符,请使用对应类型的特殊车厢装载货物,
1216,没有许可证，货物不能上车,0,装载货物失败,没有购买运输许可证,无法装载原料货物,
1217,城市货物位置不足，不能卸货（卸同一个货的数量+可运的数量>刷新上限了）,0,卸货失败,存储位置已满无法卸货,,
1218,建筑等级已经到达上限,0,建筑升级失败,建筑已经达到最大等级,无法继续升级,
1219,建筑图纸不足,0,图纸使用失败,你当前的图纸数量不足,,
1220,繁荣度不足,0,繁荣度不足,你当前的繁荣度不足,,
1221,建造前提中，需要已有建筑不满足条件,0,建造失败,不满足建造条件，请检查繁荣度,或需求的前置建筑物是否满足条件,
1222,合成商品次数不足,0,生产商品失败,工厂今日生产次数已用完,请第二天02:00后再生产商品,
1223,车厢设计图不足,0,合成失败,你当前的特殊车厢图纸,数量不足,
1224,机车运行中不能修改,0,操作失败,机车行驶过程中无法操作,,
1225,机车车队不到6级,0,合成失败,合成特殊车厢失败,车队等级达到6级才能合成特殊车厢,
1226,车上有货不能退役,0,退役失败,火车上还有货物无法退役,请卸下货物再退役火车,
1227,新车厢已经到达最大等级,0,合成失败,特殊车厢已经达到最大等级,,
1228,此车不让装新车型,0,合成失败,该型号机车无法合成,特殊车厢,
1229,建筑等级不够,0,建造失败,建筑等级不够,,
1230,建筑数量已满,0,建造失败,该建筑数量已达到上限,无法再建造,
1231,火车配件装备槽上有装备不能再装了,0,装备失败,装备槽上已有装备无法再安装,请卸下后再装备火车配件,
1232,火车配件已经被使用,0,装备失败,该火车配件正在装备中无法使用,请卸下后再使用,
1233,火车配件卸载时车上没这个配件,0,拆卸配件失败,该火车配件没有被装备,无法卸下,
1234,火车配件等级已满,0,升级失败,该火车配件已达到最大等级,无法升级,
1235,火车配件正在车上，不让卖,0,出售失败,该火车配件正在装备中,无法出售,
1236,"车上有新区的货,不能挂机",0,挂机失败,火车上还有货物无法使用挂机,,
1237,卸载货物类型与车站货物类型不符,0,卸载货物失败,车站无法存储该类型货物,只能存储同种货物,
1238,车上有货时不能拆卸火车配件,0,拆卸配件失败,特殊车厢中有货物时无法拆卸配件,清空特殊车厢货物后才能拆卸配件,
1239,竞技赛，不在比赛时间内出售商品,0,出售失败,停赛期间无法出售商品,请等待比赛开始时在出售商品,
1240,竞技赛，兑换商品积分不足,0,兑换失败,你的贸易积分不足,请获得足够的贸易积分再进行兑换,
1241,竞技赛，出售的商品积分为0,0,出售提示,出售的该物品不会获得贸易积分,,
1248,建筑不可删除,0,删除建筑失败,该建筑为基础建筑，无法删除,建筑设计院，贸易中心，研发中心三个建筑无法删除,
1249,此次抽奖会导致火车配数量将超出件能拥有的最大数量500了，请先自行清理没用的火车配件,0,火车配件获取失败,火车配件储存空间已满,请清理火车配件背包,
1250,建筑数据未初始化,0,建筑数据加载失败,请重新登录游戏重新刷新数据,,
1251,回收建筑未发现景观数据,0,回收失败,没有可回收的景观建筑,,
1252,回收建筑未发现建筑数据,0,回收失败,没有可回收的功能建筑,,
1253,回收建筑未发现建造数据,0,回收失败,没有可回收的景观建筑,,
1254,保存数据失败,0,保存数据失败,请重新登录游戏重新刷新数据,,
1255,格子已经被其他建筑占据,0,放置建筑失败,位置已经被其他建筑占据,请选择空白的位置放置建筑,
1256,研究抽奖类型错误,0,抽取失败,研究中心抽取类型错误,,
1257,研究抽奖数量错误,0,抽取失败,研究中心抽取数量错误,,
1258,研究抽奖未配置装备属性,0,抽取失败,研究中心抽取火车配件数据错误,,
1259,研究抽奖配置图纸错误,0,抽取失败,研究中心抽取图纸数据错误,,
1260,建筑设计院抽奖类型错误,0,抽取失败,建筑设计院抽取类型错误,,
1261,建筑设计院抽奖数量错误,0,抽取失败,建筑设计院抽取数量错误,,
1262,建筑显示配置无法找到,0,建筑数据错误,无法找到建筑显示配置,,
1263,建筑设计院活动已关闭,0,活动已结束,请等待活动开启时在继续使用,,
1264,无法找到贸易任务配置,0,贸易任务加载失败,贸易任务配置无法加载,,
1265,无法找到贸易任务数据,0,贸易任务加载失败,贸易任务数据无法加载,,
1266,"建筑唯一,已经有建筑了,无法使用图纸建筑",0,建造失败,该建筑是唯一的并已经存在无法建造,,
1267,任务未完成,0,任务奖励领取失败,贸易任务没有完成无法领取奖励,,
1269,回收仓库时，仓库不空,0,回收失败,仓库中还有物品无法回收,请清空仓库在进行回收,
1270,任务未接取状态时领取奖励,0,任务奖励领取失败,任务处于未接取状态，无法领取奖励,请接取任务后再领取奖励,
1271,任务到接受上限,0,接受任务失败,接受任务达到上限,,
1272,任务接受 失败,0,接受任务失败,任务已经接受，无法再次接受,,
1273,任务放弃 失败,0,放弃任务失败,任务已经放弃，无法再次放弃,,
1300,已经到达最大等级,0,火车升级失败,你的火车已达到最高等级,火车无法在升级。,
1301,因几率引起的正常升级失败,0,很遗憾，你的机车升级失败。,亲~！运气不佳哦。,运气不佳，不要灰心，请继续升级。,
1400,车库上限,0,火车购买失败,火车车库空间已满。,请在主界面下方点击“火车车库”图标，进入”火车车库“界面内购买机车仓库位置。,
1401,因等级放不到站里,0,火车购买失败,机车太大了无法停靠小站。,二星机车可以停靠在450万人口以上的车站，三星机车可以停靠在800万人口以上的城市。,
1402,站已经关闭,1,机车购买放置，数据错误,放置机车的车站已经关闭,详情见论坛,
1450,车库满了购买的宝石火车封存,0,火车车库已满,您购买的火车已放入封存车库。,在封存车库中点击重新启用，就可以正常使用。,
1451,宝石火车放置的车站星级过低,1,机车停靠失败,机车太大了无法停靠小站。,二星机车可以停靠在450万人口以上的车站，三星机车可以停靠在800万人口以上的城市。,
1452,宝石火车放置的车站已经关闭,1,机车停靠失败,你停靠的车站已经关闭,无法停放机车。,
1460,此商品，联盟团购次数已满,0,购买失败,商品团购次数不足,,
1461,此商品，购买数量大于本轮团购所需数量,0,购买失败,团购商品剩余数量不足,请核对剩余数量后再试,
1462,不在团购查看信息时间,0,查看失败,该时间无法查看团购信息,请稍后再试,
1463,联盟在进行团购，不能解散,0,操作失败,解散失败,正在团购时无法解散联盟,
1464,正在购买团购商品，不能提出或离开联盟,0,操作失败,,正在购买团购商品时无法提出或离开联盟,
1465,不在团购购买或查看名单时间,0,操作失败,该时间无法操作,请稍后再试,
1466,本轮联盟团购已经购买过此商品,0,购买失败,每轮团购只能购买1次商品,请等待本轮团购结束再进行购买,
1470,兑换次数不足,0,兑换失败,兑换次数不足,您已经没有兑换次数了,
1480,联运币不足，不能兑换,0,购买失败,联运币不足，不能兑换,,
1481,数量不足,0,购买失败,商品数量不足，不能兑换,,
1482,联运礼品分不足，不能兑换,0,赠送失败,联运兑换券不足,联运商店购买物品得联运兑换券,
