col_0,col_1,col_2,col_3,col_4,col_5
1,1000,20381,3200,diangjuandonghua.png,100点券
2,1000,20382,48000,sw_siji.png,普通司机
3,1000,20383,44800,crystal.png,100红宝石
4,500,20384,22400,0,MLU001磁浮列车客货型
5,500,20385,22400,0,狗年生肖火车客货型
6,500,20386,22400,0,ITX新村号客货型
7,500,20387,44800,0,CR400BF客货型
8,500,20388,44800,0,E657系电车客货型
9,500,20389,44800,0,复兴号客货型
10,500,20390,44800,0,西门子Velaro RUSCHS8客货型
11,500,20391,44800,0,CR200J型复兴号动车组客货型
12,500,20392,44800,0,大力士客货型
13,500,20393,44800,0,CRH2-168A动车组客货型
14,500,20394,67200,0,2019五一涂装客货型
15,500,20395,67200,0,2018圣诞涂装客货型
16,500,20396,67200,0,HXN5321型内燃机车客货型
17,500,20397,67200,0,SUNRISE客货型
18,500,20398,67200,0,2018双十一涂装客货型
19,500,20399,67200,0,2018中秋涂装客货型
20,500,20400,22400,0,端午龙舟火车客货型
21,500,20401,22400,0,HXN5330型内燃机车客货型
22,500,20402,22400,0,DD磁悬浮客货型
23,500,20403,22400,0,JR磁悬浮客货型
24,500,20404,22400,0,DD磁悬浮红旗版客货型
25,500,20405,22400,0,DD磁悬浮八一涂装版客货型
26,500,20406,22400,0,TR-09磁浮列车客货型
27,500,20407,44800,0,由布院之森观光列车客货型
28,500,20408,44800,0,2017生肖涂装客货型
29,500,20409,44800,0,新干线EVA客货型
30,500,20410,44800,0,2018国庆涂装客货型
31,500,20411,44800,0,世界杯涂装火车客货型
32,500,20412,67200,0,2018圣诞涂装客货型
33,500,20413,67200,0,2019春节涂装高速列车客货型
34,500,20414,67200,0,OUIGO客货型
35,500,20415,67200,0,瑞丰号客货型
36,500,20416,67200,0,2020元旦涂装客货型
37,500,20417,67200,0,九州七星号客货型
38,500,20418,67200,0,雪月花号客货型
39,500,20419,67200,0,阿苏男孩号客货型
40,500,20420,67200,0,2020圣诞节涂装客货型
41,500,20421,67200,0,洲际高速列车客货型
42,500,20422,67200,0,HXN5320内燃机车客货型
43,500,20423,67200,0,特急Revaty500客货型
44,500,20424,67200,0,仙后座号高速列车客货型
45,500,20425,67200,0,跨国互联互通高速列车客货型
46,500,20426,67200,0,2021中秋涂装客货型
47,500,20427,73200,0,2021国庆涂装客货型
48,500,20428,67200,0,HXN5C内燃机车客货型
49,500,20429,67320,0,天狼星号客货型
50,500,20430,67350,0,2021圣诞节号客货型
51,500,20431,67370,0,神崋号电力机车客货型
52,500,20432,73200,0,2022虎年涂装客货型
53,500,20433,67390,0,小玉号电力机车客货型
54,500,20434,75210,0,TGVPSE客货型
55,500,20435,67420,0,费城不锈钢双层列车客货型
56,500,20436,67430,0,埃维利亚自由号客货型
57,500,20437,67450,0,蒙特利尔双层客货型
58,500,20438,67460,0,光明线号客货型
59,500,20439,67470,0,INDIAN PACIFIC号客货型
60,500,20440,78430,0,2022国庆涂装客货型
61,500,20441,67480,0,冰川列车客货型
62,500,20442,67500,0,机电混动力调车客货型
63,500,20443,67530,0,2022圣诞节涂装客货型
64,500,20444,67540,0,中国龙中速磁悬浮客货型
65,500,20445,80520,0,2023兔年涂装客货型
66,500,20446,67620,0,中速磁悬浮客货型
67,500,20447,67650,0,秦旅山海号客货型
68,500,20448,67680,0,四川山地轨道交通客货型
69,500,20449,82310,0,2023五一涂装客货型
70,500,20450,67710,0,小田急70000客货型
71,500,20451,67720,0,纳帕酒乡火车客货型
72,500,20452,67750,0,清远磁悬浮列车客货型
73,500,20453,67780,0,瑞雪迎春复兴号客货型
74,500,20454,82650,0,36+3特快列车客货型
75,500,20455,67820,0,极光夜高速列车客货型
76,500,20456,67850,0,英国皇家号列车客货型
77,500,20457,67860,0,新型2ES7电力机车客货型
78,500,20458,67930,0,西门子Desiro HC双层列车客货型
