col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,0,1,1,0,0,1,0,3
3,0,3,1,2,0,2,0,4
4,0,4,3,4,0,3,0,5
5,0,5,5,6,0,4,0,6
6,0,6,7,8,0,2,0,7
7,0,7,9,10,0,6,0,8
8,0,8,1,0,0,1,0,9
9,0,9,11,12,0,7,0,10
10,0,10,13,14,0,8,0,11
11,0,11,1,0,0,1,0,12
12,0,12,15,16,0,3,0,13
13,0,13,17,18,0,4,0,14
14,0,14,19,20,0,2,0,15
15,0,15,21,22,0,6,0,16
16,0,16,23,24,0,9,0,27
17,0,17,1,0,0,1,0,0
18,2,0,0,25,10,100,1,0
19,3,18,0,26,1,11,1,0
21,3,19,0,27,1,12,2,0
23,2,20,0,0,1,100,12,0
24,2,23,0,0,1,100,13,0
25,3,25,0,0,1,100,14,0
26,2,28,0,0,1,100,15,0
27,0,0,28,29,0,5,0,17
28,5,0,0,30,7,7,1,0
29,1,0,0,31,2,100,1,0
30,3,24,0,0,1,100,10,0
31,4,29,0,0,1,100,101,0
32,4,30,0,0,1,100,103,0
33,4,31,0,0,1,100,102,0
34,4,32,0,0,1,100,104,0
35,6,33,0,0,0,0,0,0
36,6,34,0,0,0,0,0,0
37,6,35,0,0,0,0,0,0
38,6,36,0,0,0,0,0,0
39,6,37,0,0,0,0,0,0
40,6,38,0,0,0,0,0,0
41,6,39,0,0,0,0,0,0
42,6,40,0,0,0,0,0,0
43,6,41,0,0,0,0,0,0
44,6,42,0,0,0,0,0,0
45,6,43,0,0,0,0,0,0
46,6,44,0,0,0,0,0,0
47,6,45,0,0,0,0,0,0
48,6,46,0,0,0,0,0,0
49,6,47,0,0,0,0,0,0
50,6,48,0,0,0,0,0,0
51,6,49,0,0,0,0,0,0
52,6,50,0,0,0,0,0,0
53,6,51,0,0,0,0,0,0
54,6,52,0,0,0,0,0,0
55,6,53,0,0,0,0,0,0
56,6,54,0,0,0,0,0,0
57,6,55,0,0,0,0,0,0
58,6,56,0,0,0,0,0,0
59,6,57,0,0,0,0,0,0
60,6,58,0,0,0,0,0,0
61,6,59,0,0,0,0,0,0
62,6,60,0,0,0,0,0,0
63,6,61,0,0,0,0,0,0
64,6,62,0,0,0,0,0,0
65,6,63,0,0,0,0,0,0
66,6,64,0,0,0,0,0,0
67,6,65,0,0,0,0,0,0
68,6,66,0,0,0,0,0,0
