col_0,col_1,col_2,col_3,col_4
101001,10,1,0,101002
101002,5,1,101001,101003
101003,24,1,101002,101004
101004,15,1,101003,101005
101005,18,1,101004,101006
101006,28,1,101005,101007
101007,29,1,101006,101008
101008,30,1,101007,101009
101009,21,1,101008,101010
101010,25,1,101009,101011
101011,26,1,101010,101012
101012,27,1,101011,101013
101013,31,1,101012,101014
101014,32,1,101013,101015
101015,33,1,101014,101016
101016,34,1,101015,101017
101017,35,1,101016,101018
101018,36,1,101017,101019
101019,37,1,101018,101020
101020,38,1,101019,101021
101021,39,1,101020,101022
101022,202,1,101021,101023
101023,203,1,101022,101024
101024,218,1,101023,101025
101025,207,1,101024,101026
101026,208,1,101025,101027
101027,219,1,101026,101028
101028,200,1,101027,101029
101029,201,1,101028,101030
101030,40,1,101029,101031
101031,41,1,101030,101032
101032,42,1,101031,101033
101033,209,1,101032,101034
101034,210,1,101033,101035
101035,250,1,101034,101036
101036,43,1,101035,101037
101037,44,1,101036,101038
101038,214,1,101037,101039
101039,45,1,101038,101040
101040,46,1,101039,101041
101041,47,1,101040,101042
101042,48,1,101041,101043
101043,281,1,101042,101044
101044,282,1,101043,101045
101045,283,1,101044,101046
101046,224,1,101045,101047
101047,225,1,101046,101048
101048,226,1,101047,101049
101049,227,1,101048,101050
101050,228,1,101049,101051
101051,229,1,101050,101052
101052,221,1,101051,101053
101053,222,1,101052,101054
101054,223,1,101053,101055
101055,103,1,101054,101056
101056,233,1,101055,101057
101057,234,1,101056,101058
101058,235,1,101057,101059
101059,257,1,101058,101060
101060,279,1,101059,101061
101061,280,1,101060,101062
101062,204,1,101061,101063
101063,205,1,101062,101064
101064,206,1,101063,101065
101065,100,1,101064,101066
101066,339,1,101065,101067
101067,340,1,101066,101068
101068,341,1,101067,101069
101069,410,1,101068,101070
101070,411,1,101069,101071
101071,412,1,101070,101072
101072,108,1,101071,101073
101073,420,1,101072,101074
101074,421,1,101073,101075
101075,422,1,101074,101076
101076,102,1,101075,101077
101077,329,1,101076,101078
101078,330,1,101077,101079
101079,331,1,101078,101080
101080,439,1,101079,101081
101081,440,1,101080,101082
101082,441,1,101081,101083
101083,469,1,101082,101084
101084,470,1,101083,101085
101085,471,1,101084,101086
101086,485,1,101085,101087
101087,486,1,101086,101088
101088,487,1,101087,101089
101089,498,1,101088,101090
101090,499,1,101089,101091
101091,500,1,101090,101092
101092,6,1,101091,101093
101093,7,1,101092,101094
101094,11,1,101093,101095
101095,12,1,101094,101096
101096,1,1,101095,101097
101097,2,1,101096,101098
101098,8,1,101097,101099
101099,9,1,101098,101100
101100,3,1,101099,101101
101101,4,1,101100,101102
101102,22,1,101101,101103
101103,23,1,101102,101104
101104,13,1,101103,101105
101105,14,1,101104,101106
101106,16,1,101105,101107
101107,17,1,101106,101108
101108,19,1,101107,101109
101109,20,1,101108,101110
101110,104,1,101109,101111
101111,107,1,101110,101112
101112,101,1,101111,101113
101113,255,1,101112,101114
101114,287,1,101113,101115
101115,259,1,101114,101116
101116,417,1,101115,101117
101117,418,1,101116,101118
101118,419,1,101117,101119
101119,276,1,101118,101120
101120,423,1,101119,101121
101121,424,1,101120,101122
101122,241,1,101121,101123
101123,316,1,101122,101124
101124,271,1,101123,101125
101125,319,1,101124,101126
101126,425,1,101125,101127
101127,479,1,101126,101128
101128,480,1,101127,101129
101129,481,1,101128,101130
101130,246,1,101129,101131
101131,292,1,101130,101132
101132,294,1,101131,101133
101133,295,1,101132,101134
101134,442,1,101133,101135
101135,443,1,101134,101136
101136,444,1,101135,101137
101137,472,1,101136,101138
101138,473,1,101137,101139
101139,474,1,101138,101140
101140,482,1,101139,101141
101141,483,1,101140,101142
101142,484,1,101141,101143
101143,495,1,101142,101144
101144,496,1,101143,101145
101145,497,1,101144,101146
101146,507,1,101145,101147
101147,508,1,101146,101148
101148,509,1,101147,101149
101149,458,1,101148,101150
101150,459,1,101149,101151
101151,460,1,101150,101152
101152,453,1,101151,101153
101153,454,1,101152,101154
101154,455,1,101153,101155
101155,489,1,101154,101156
101156,490,1,101155,101157
101157,491,1,101156,101158
101158,253,1,101157,101159
101159,254,1,101158,101160
101160,63,1,101159,101161
101161,64,1,101160,101162
101162,65,1,101161,101163
101163,305,1,101162,101164
101164,306,1,101163,101165
101165,307,1,101164,101166
101166,314,1,101165,101167
101167,315,1,101166,101168
101168,336,1,101167,101169
101169,337,1,101168,101170
101170,338,1,101169,101171
101171,317,1,101170,101172
101172,318,1,101171,101173
101173,269,1,101172,101174
101174,270,1,101173,101175
101175,288,1,101174,101176
101176,289,1,101175,101177
101177,290,1,101176,101178
101178,238,1,101177,101179
101179,249,1,101178,101180
101180,239,1,101179,101181
101181,248,1,101180,101182
101182,240,1,101181,101183
101183,247,1,101182,101184
101184,296,1,101183,101185
101185,397,1,101184,101186
101186,272,1,101185,101187
101187,274,1,101186,101188
101188,301,1,101187,101189
101189,285,1,101188,101190
101190,334,1,101189,101191
101191,242,1,101190,101192
101192,277,1,101191,101193
101193,344,1,101192,101194
101194,345,1,101193,101195
101195,256,1,101194,101196
101196,322,1,101195,101197
101197,427,1,101196,101198
101198,416,1,101197,101199
101199,429,1,101198,101200
101200,433,1,101199,101201
101201,465,1,101200,101202
101202,466,1,101201,101203
101203,457,1,101202,101204
101204,258,1,101203,101205
101205,275,1,101204,101206
101206,303,1,101205,101207
101207,358,1,101206,101208
101208,415,1,101207,101209
101209,355,1,101208,101210
101210,321,1,101209,101211
101211,325,1,101210,101212
101212,326,1,101211,101213
101213,413,1,101212,101214
101214,448,1,101213,101215
101215,449,1,101214,101216
101216,304,1,101215,101217
101217,252,1,101216,101218
101218,320,1,101217,101219
101219,308,1,101218,101220
101220,332,1,101219,101221
101221,251,1,101220,101222
101222,286,1,101221,101223
101223,310,1,101222,101224
101224,309,1,101223,101225
101225,311,1,101224,101226
101226,312,1,101225,101227
101227,313,1,101226,101228
101228,58,1,101227,101229
101229,333,1,101228,101230
101230,302,1,101229,101231
101231,456,1,101230,101232
101232,400,1,101231,101233
101233,501,1,101232,101234
101234,284,1,101233,101235
101235,230,1,101234,101236
101236,231,1,101235,101237
101237,232,1,101236,101238
101238,382,1,101237,101239
101239,356,1,101238,101240
101240,450,1,101239,101241
101241,451,1,101240,101242
101242,60,1,101241,101243
