col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
1,1,100,300,100,300,农产原料货物单个重量减少,农产原料火车牵引力增加
1,2,100,300,100,300,建筑原料货物单个重量减少,建筑原料火车牵引力增加
1,3,100,300,100,300,工业原料货物单个重量减少,工业原料火车牵引力增加
1,4,100,300,100,300,百货类商品货物单个重量减少,百货类商品火车牵引力增加
1,5,100,300,100,300,服饰类商品货物单个重量减少,服饰类商品火车牵引力增加
1,6,100,300,100,300,化工类商品货物单个重量减少,化工类商品火车牵引力增加
1,7,100,300,100,300,家电类商品货物单个重量减少,家电类商品火车牵引力增加
1,9,100,300,100,300,食品类商品货物单个重量减少,食品类商品火车牵引力增加
1,10,100,300,100,300,药妆类商品货物单个重量减少,药妆类商品火车牵引力增加
1,11,100,300,100,300,制造类商品货物单个重量减少,制造类商品火车牵引力增加
1,12,100,300,100,300,珠宝类商品货物单个重量减少,珠宝类商品火车牵引力增加
2,1,100,300,100,300,农产原料火车超重值减少,农产原料火车损耗值减少
2,2,100,300,100,300,建筑原料火车超重值减少,建筑原料火车损耗值减少
2,3,100,300,100,300,工业原料火车超重值减少,工业原料火车损耗值减少
2,4,100,300,100,300,百货类商品火车超重值减少,百货类商品火车损耗值减少
2,5,100,300,100,300,服饰类商品火车超重值减少,服饰类商品火车损耗值减少
2,6,100,300,100,300,化工类商品火车超重值减少,化工类商品火车损耗值减少
2,7,100,300,100,300,家电类商品火车超重值减少,家电类商品火车损耗值减少
2,9,100,300,100,300,食品类商品火车超重值减少,食品类商品火车损耗值减少
2,10,100,300,100,300,药妆类商品火车超重值减少,药妆类商品火车损耗值减少
2,11,100,300,100,300,制造类商品火车超重值减少,制造类商品火车损耗值减少
2,12,100,300,100,300,珠宝类商品火车超重值减少,珠宝类商品火车损耗值减少
3,1,100,300,1,1,农产原料特殊车厢重量降低,农产原料特殊车厢仓位增加
3,2,100,300,1,1,建筑原料特殊车厢重量降低,建筑原料特殊车厢仓位增加
3,3,100,300,1,1,工业原料特殊车厢重量降低,工业原料特殊车厢仓位增加
3,4,100,300,1,1,百货类商品特殊车厢重量降低,百货类商品特殊车厢仓位增加
3,5,100,300,1,1,服饰类商品特殊车厢重量降低,服饰类商品特殊车厢仓位增加
3,6,100,300,1,1,化工类商品特殊车厢重量降低,化工类商品特殊车厢仓位增加
3,7,100,300,1,1,家电类商品特殊车厢重量降低,家电类商品特殊车厢仓位增加
3,9,100,300,1,1,食品类商品特殊车厢重量降低,食品类商品特殊车厢仓位增加
3,10,100,300,1,1,药妆类商品特殊车厢重量降低,药妆类商品特殊车厢仓位增加
3,11,100,300,1,1,制造类商品特殊车厢重量降低,制造类商品特殊车厢仓位增加
3,12,100,300,1,1,珠宝类商品特殊车厢重量降低,珠宝类商品特殊车厢仓位增加
