col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
1,黑龙江铁路集团,13060,2017,2,4,37,0,0,0,0,0,1,0,35
2,吉林铁路集团,12985,2254,1,3,4,0,0,0,0,0,1,0,36
3,辽宁铁路集团,12872,2534,2,4,10,39,0,0,0,0,1,0,37
4,内蒙铁路集团,11755,2726,1,2,3,6,7,8,9,37,1,0,38
5,青海铁路集团,10884,3266,6,14,30,0,0,0,0,0,1,0,39
6,甘肃铁路集团,11126,3478,5,7,8,14,0,0,0,0,1,0,40
7,宁夏铁路集团,11323,3121,4,6,8,0,0,0,0,0,1,0,41
8,陕西铁路集团,11667,3458,4,6,9,11,14,15,0,0,1,0,42
9,山西铁路集团,11800,3099,10,11,8,4,0,0,0,0,1,0,43
10,河北铁路集团,12060,3073,4,12,11,9,3,0,0,0,1,0,44
11,河南铁路集团,12069,3522,8,9,10,12,13,15,0,0,1,0,45
12,山东铁路集团,12302,3198,10,11,13,23,39,0,0,0,1,0,46
13,安徽铁路集团,12317,3740,12,15,11,24,17,23,0,0,2,0,47
14,四川铁路集团,11143,4019,15,16,6,5,20,19,0,0,2,0,48
15,湖北铁路集团,11949,3898,8,11,13,16,17,14,0,0,2,0,49
16,湖南铁路集团,11893,4232,19,14,15,17,28,18,0,0,2,0,50
17,江西铁路集团,12360,4150,13,15,16,28,27,24,0,0,2,0,51
18,广西铁路集团,11470,4900,20,19,28,21,16,0,0,0,2,0,52
19,贵州铁路集团,11394,4481,14,20,16,18,0,0,0,0,2,0,53
20,云南铁路集团,10950,4635,14,19,18,29,0,0,0,0,2,0,54
21,海南铁路集团,11704,5237,18,28,0,0,0,0,0,0,2,0,55
22,中国台湾铁路集团,12834,4628,27,28,24,39,0,0,0,0,2,0,56
23,江苏铁路集团,12538,3768,12,13,24,0,0,0,0,0,2,0,57
24,浙江铁路集团,12793,3934,13,17,27,23,0,0,0,0,2,0,58
27,福建铁路集团,12702,4362,17,28,24,22,0,0,0,0,2,0,59
28,广东铁路集团,12073,4831,18,16,17,27,22,0,0,0,2,0,60
29,印度铁路集团,8501,4212,20,5,14,0,0,0,0,0,3,1,61
30,中亚铁路集团,5342,3610,29,36,37,35,0,0,0,0,3,1,62
35,北非铁路集团,2648,3893,35,36,30,0,0,0,0,0,3,1,63
36,欧洲铁路集团,2150,2650,37,30,38,0,0,0,0,0,4,1,64
37,R国铁路集团,4150,655,36,4,1,2,38,0,0,0,4,1,65
38,U国铁路集团,690,1100,36,0,0,0,0,0,0,0,4,1,66
39,J国铁路集团,13891,3247,35,36,37,38,40,0,0,0,2,2,67
40,A国铁路集团,24818,2556,35,36,37,38,39,0,0,0,4,2,68
