col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1001,90,1,2,0,17853,,熊猫空铁客货型,1
1002,190,1,2,0,17854,,雪月花号客货型,1
1003,250,1,2,0,17855,,蒙特利尔双层客货型,1
1004,360,1,2,0,17856,,光明线号客货型,1
1005,490,1,2,0,17857,,INDIAN-PACIFIC号客货型,1
1006,490,1,2,500,15686,diangjuandonghua.png,2000点券,1
1007,790,1,2,0,17858,,冰川列车客货型,1
1008,790,1,2,1000,15688,crystal.png,2000红宝石,1
2001,90,1,2,0,17859,,E655皇室专列客货型,1
2002,190,1,2,0,17860,,仙后座号高速列车客货型,1
2003,250,1,2,0,17861,,2019万圣节涂装客货型,1
2004,360,1,2,0,17862,,2020鼠年涂装客货型,1
2005,490,1,2,0,17863,,费城不锈钢双层列车客货型,1
2006,490,1,2,412,15694,diangjuandonghua.png,1000点券,1
2007,790,1,2,0,17864,,埃维利亚自由号客货型,1
2008,790,1,2,800,15696,crystal.png,1000红宝石,1
3001,90,1,2,0,17865,,THSR 700T客货型,1
3002,190,1,2,0,17866,,JR九州某列车客货型,1
3003,250,1,2,0,17867,,2020五一涂装客货型,1
3004,360,1,2,0,17868,,2020端午节涂装客货型,1
3005,490,1,2,0,17869,,机电混动力调车客货型,1
3006,490,1,2,412,15702,diangjuandonghua.png,1000点券,1
3007,790,1,2,0,17870,,2022圣诞节涂装客货型,1
3008,790,1,2,800,15704,crystal.png,1000红宝石,1
4001,90,1,2,0,17871,,水晶景观客货型,1
4002,190,1,2,0,17872,,2020端午节涂装客货型,1
4003,250,1,2,0,17873,,九州七星号客货型,1
4004,360,1,2,0,17874,,特急Revaty500客货型,1
4005,490,1,2,0,17875,,2019国庆涂装客货型,1
4006,490,1,2,412,15710,diangjuandonghua.png,1000点券,1
4007,790,1,2,0,17876,,2020中秋涂装客货型,1
4008,790,1,2,800,15712,crystal.png,1000红宝石,1
5001,90,1,2,0,17877,,2019八一涂装客货型,1
5002,190,1,2,0,17878,,E353系超级梓号客货型,1
5003,250,1,2,0,17879,,2020圣诞节涂装客货型,1
5004,360,1,2,0,17880,,洲际高速列车客货型,1
5005,490,1,2,0,17881,,陕煤号电力机车客货型,1
5006,490,1,2,412,15718,diangjuandonghua.png,1000点券,1
5007,790,1,2,0,17882,,2021中秋涂装客货型,1
5008,790,1,2,800,15720,crystal.png,1000红宝石,1
6001,90,1,2,0,17883,,2019中秋涂装客货型,1
6002,190,1,2,0,17884,,长沙磁悬浮客货型,1
6003,250,1,2,0,17885,,跨国互联互通高速列车客货型,1
6004,360,1,2,0,17886,,HXN5320内燃机车客货型,1
6005,490,1,2,0,17887,,HXN5C内燃机车客货型,1
6006,490,1,2,412,15726,diangjuandonghua.png,1000点券,1
6007,790,1,2,0,17888,,天狼星号客货型,1
6008,790,1,2,800,15728,crystal.png,1000红宝石,1
7001,90,1,2,0,17889,,2019万圣节涂装客货型,1
7002,190,1,2,0,17890,,CRH2-043A动车组客货型,1
7003,250,1,2,0,17891,,阿苏男孩号客货型,1
7004,360,1,2,0,17892,,2021圣诞节号客货型,1
7005,490,1,2,0,17893,,小玉号电力机车客货型,1
7006,490,1,2,500,15734,diangjuandonghua.png,2000点券,1
7007,790,1,2,0,17894,,神崋号电力机车客货型,1
7008,790,1,2,1000,15736,crystal.png,2000红宝石,1
