col_0,col_1,col_2,col_3,col_4,col_5
1,40,1,15737,56baoshi.png,6钻石
2,40,1,15738,jingbidonghua.png,1亿金币
3,40,1,18047,,HXN5330型内燃机车客货型
4,100,1,15740,56baoshi.png,12钻石
5,100,2,15741,jingbidonghua.png,1亿金币
6,100,3,15745,,CR400BF国庆涂装客货型
7,100,3,18048,,狗年生肖火车客货型
8,100,1,18049,,JR九州某列车客货型
9,240,1,15743,56baoshi.png,30钻石
10,240,3,15744,jingbidonghua.png,1亿金币
11,240,3,17500,,成田特快E259客货型
12,240,3,15749,,ITX新村号客货型
13,240,1,16233,,洲际高速列车客货型
14,240,1,18075,,KCIC400AF动车组客货型
15,450,1,15746,56baoshi.png,50钻石
16,450,4,15747,jingbidonghua.png,1亿金币
17,450,3,15752,,DD磁悬浮客货型
18,450,3,15753,,KTX2客货型
19,450,1,18050,,阿苏男孩号客货型
20,450,1,18075,,KCIC400AF动车组客货型
21,1000,1,15750,56baoshi.png,120钻石
22,1000,5,15751,jingbidonghua.png,1亿金币
23,1000,3,18051,,CR400BF客货型
24,1000,3,18052,,西门子Velaro RUS CHS8客货型
25,1000,1,18053,,跨国互联互通高速列车客货型
26,1000,1,18075,,KCIC400AF动车组客货型
27,1600,1,15754,56baoshi.png,160钻石
28,1600,1,15755,jingbidonghua.png,10亿金币
29,1600,3,18054,,E657系电车客货型
30,1600,3,18055,,雪月花号客货型
31,1600,3,16051,,陕煤号电力机车客货型
32,1600,1,18075,,KCIC400AF动车组客货型
33,2900,1,15758,56baoshi.png,310钻石
34,2900,2,15759,jingbidonghua.png,10亿金币
35,2900,3,15764,,CR400BF客货型
36,2900,3,18056,,SUNRISE客货型
37,2900,3,16637,,天狼星高速列车
38,2900,2,18075,,KCIC400AF动车组客货型
39,3660,1,15762,56baoshi.png,400钻石
40,3660,3,15763,jingbidonghua.png,10亿金币
41,3660,3,18057,,洲际高速列车客货型
42,3660,3,15775,,OUIGO客货型
43,3660,3,16533,,HXN5C内燃机车客货型
44,3660,2,18075,,KCIC400AF动车组客货型
45,6000,1,15766,56baoshi.png,660钻石
46,6000,4,15767,jingbidonghua.png,10亿金币
47,6000,1,15768,coupon.png,300代金券
48,6000,3,15776,,HXN5321型内燃机车客货型
49,6000,3,18058,,E655皇室专列客货型
50,6000,3,18059,,熊猫空铁客货型
51,6000,3,18060,,特急Revaty500客货型
52,6000,3,16459,,2021中秋涂装客货型
53,6000,3,18075,,KCIC400AF动车组客货型
54,10000,1,15772,56baoshi.png,1300钻石
55,10000,5,15773,jingbidonghua.png,10亿金币
56,10000,1,15774,coupon.png,700代金券
57,10000,3,18061,,THSR 700T客货型
58,10000,3,15791,,E655皇室专列客货型
59,10000,3,18062,,CR300BF蓝色涂装客货型
60,10000,3,18063,,光明线号客货型
61,10000,3,18064,,仙后座号高速列车客货型
62,10000,3,18075,,KCIC400AF动车组客货型
63,17300,1,15778,56baoshi.png,2500钻石
64,17300,10,15779,jingbidonghua.png,1000亿金币
65,17300,1,15780,gouwuquan.png,1000购物券
66,17300,1,15781,diangjuanicon.png,300点券
67,17300,4,18065,,2019国庆涂装客货型
68,17300,4,18066,,长沙磁悬浮客货型
69,17300,4,18067,,天狼星号客货型
70,17300,4,15809,,中国磁悬浮实验型国庆涂装
71,17300,4,18075,,KCIC400AF动车组客货型
72,34000,1,15785,56baoshi.png,6000钻石
73,34000,10,15786,jingbidonghua.png,1000亿金币
74,34000,1,15787,gouwuquan.png,2000购物券
75,34000,1,15788,diangjuanicon.png,700点券
76,34000,4,15805,,2020鼠年涂装客货型
77,34000,4,18068,,机电混动力调车客货型
78,34000,4,18069,,埃维利亚自由号客货型
79,34000,4,18070,,四季岛号客货型
80,34000,4,16255,,中国磁悬浮实验型涂装
81,34000,4,18075,,KCIC400AF动车组客货型
82,48000,1,15793,56baoshi.png,10000钻石
83,48000,10,15794,jingbidonghua.png,1000亿金币
84,48000,1,15795,gouwuquan.png,3000购物券
85,48000,1,15796,crystal.png,300红宝石
86,48000,4,18071,,小玉号电力机车客货型
87,48000,4,18072,,神崋号电力机车客货型
88,48000,4,15194,,TGV Lyria 客货型
89,48000,4,16321,,红巨人铁路救援起重机客货型
90,48000,4,17499,,TGV PSE 客货型
91,48000,4,16492,,2021国庆涂装客货型
92,48000,5,18075,,KCIC400AF动车组客货型
93,75000,1,15801,56baoshi.png,17000钻石
94,75000,10,15802,jingbidonghua.png,1000亿金币
95,75000,1,15803,gouwuquan.png,4000购物券
96,75000,1,15804,crystal.png,700红宝石
97,75000,4,18073,,INDIAN-PACIFIC号客货型
98,75000,4,18074,,小田急70000客货型
99,75000,4,17495,,兴国号客货型
100,75000,4,6067,,雪国列车客货型
101,75000,4,17496,,2022虎年涂装客货型
102,75000,4,17497,,2022国庆涂装客货型
103,75000,5,18075,,KCIC400AF动车组客货型
