col_0,col_1,col_2,col_3
0,县级车站背景音效,CheZhan01,0
1,地级车站背景音效,CheZhan02,1
2,省级车站背景音效,CheZhan03,1
3,点击乘客货物上车音效,ShangChe01,1
4,点击乘客货物下车音效,XiaChe01,1
5,按钮点下时的音效,DianAnNiu01,0
6,鼠标悬浮在按钮上的音效,XuanFu01,0
7,翻页时的音效,FanYe01,1
8,弹出页面的音效,TanChu01,1
9,划出页面的音效,FeiChu01,1
10,页面关闭的音效,GuanBi01,0
11,错误提示音,CuoWu01,1
12,金币数字变化音效（增加或减少）,JinBi01,0
13,点券数字变化音效（增加或减少）,DianQuan01,1
14,人物升级音效,ShengJi01,1
15,火车到站音效,DaoZhan01,1
16,购买车站成功时的音效,MaiChengShi01,1
17,车站升级过程中的音效,ShiGong01,1
18,车站广告音效,GuangGao01,1
19,提示框弹出音效,TiShiKuang01,1
20,乘客同方向加成音效,TongCheng01,1
21,火车启动并音效1（普通内燃机）,QiDong01,1
22,火车启动并音效2（动车类）,QiDong02,1
23,火车行驶音效,XingShi01,1
24,分页签点击音效,YeQian01,1
25,点卷拾取音效,DianQuan02,1
26,金币拾取音效,JinBi02,0
27,获取奖励音效（胜利音效）（任务，比赛等）,JiangLi01,1
