col_0,col_1,col_2,col_3
1,16105,成田特快E259客货型,
2,16108,CR400BF国庆涂装客货型,
3,16111,英铁Class395客货型,
4,16112,CRH5玫瑰号客货型,
5,16115,端午龙舟火车客货型,
6,16116,意大利客货型,
7,16119,狗年生肖火车客货型,
8,16122,CRH2-2296动车组客货型,
9,16123,JR磁悬浮客货型,
10,16125,DD磁悬浮八一涂装版客货型,
11,16128,DD磁悬浮红旗版客货型,
12,16131,MLU001磁浮列车客货型,
13,16134,KTX2客货型,
14,16137,HXN5330型内燃机车客货型,
15,16140,复兴号国庆涂装客货型,
16,16143,磁悬浮客货型,
17,16146,西门子Velaro RUS CHS8客货型,
18,16149,复兴号客货型,
19,16150,新干线EVA客货型,
20,16153,2018国庆涂装客货型,
21,16156,E657系电车客货型,
22,16159,JR九州787特急客货型 ,
23,16162,CR200J型复兴号动车组客货型,
24,16165,大力士客货型,
25,16168,2018圣诞涂装客货型,
26,16171,2018双十一涂装客货型,
27,16174,SUNRISE客货型,
28,16177,CRH2-168A动车组客货型,
29,16180,世界杯涂装火车客货型,
30,16183,2019五一涂装客货型,
31,16186,瑞丰号客货型,
32,16189,2020元旦涂装客货型,
33,14811,OUIGO客货型,
34,14601,2019春节涂装客货型,
35,14878,HXN5321型内燃机车客货型,
36,14471,2018中秋涂装客货型,
37,14968,2019八一涂装客货型,
38,14631,E655皇室专列客货型,
39,14998,2019中秋涂装客货型,
40,15058,2019万圣节涂装客货型,
41,15164,2020鼠年涂装客货型,
42,15224,熊猫空铁客货型,
43,15284,2020五一涂装客货型,
44,15254,JR九州某列车客货型,
45,15344,CRH2-043A动车组涂装客货型,
46,15374,2020端午节涂装客货型,
47,14028,长沙磁悬浮客货型,
48,16192,THSR 700T客货型,
49,16195,水晶景观客货型,
50,16198,TGV Lyria  客货型,
51,16201,E353系超级梓号客货型,
52,16204,九州七星号客货型,
53,16207,雪月花号客货型,
54,16210,阿苏男孩号客货型,
55,15590,2020圣诞涂装客货型,
56,16354,HXN5320内燃机车客货型,
57,16390,特急Revaty500客货型,
58,16423,仙后座高速列车客货型,
59,16288,跨国互联互通高速列车客货型,
60,16459,2021中秋涂装客货型,
61,16533,HXN5C内燃机车客货型,
62,16637,天狼星号客货型,
63,16688,2021圣诞涂装客货型,
64,15028,2019国庆涂装客货型,
65,15134,四季岛号客货型,
66,15314,CR400BF蓝色涂装客货型,
67,16051,陕煤号电力机车客货型,
68,16213,2020中秋涂装高速列车客货型,
69,16216,中国磁悬浮实验型国庆涂装客货型,
70,16817,小玉号客货型,
71,16492,2021国庆涂装客货型,
72,16721,神崋号电力机车客货型,
73,16966,埃维利亚自由号客货型,
74,17000,蒙特利尔双层客货型,
75,17034,光明线号客货型,
76,17068,INDIAN PACIFIC号客运型,
77,17192,冰川列车客货型,
78,17229,机电混动力调车客货型,
79,17536,中速磁悬浮客货型,
80,17572,秦旅山海号客货型,
81,17699,小田急70000号客货型,
82,17735,纳帕酒乡火车客货型,
83,17771,清远磁悬浮列车客货型,
84,17806,瑞雪迎春复兴号客货型,
85,17982,36+3特快列车客货型,
86,18017,极光夜高速列车客货型,
87,18119,英国皇家号列车客货型,
88,18154,新型2ES7电力机车客货型,
89,18189,西门子Desiro HC双层列车客货型,
90,18224,2024龙年涂装客货型,
91,18259,悉尼双层列车客货型,
92,19011,必和必拓铁矿火车客货型,
93,19049,波兰 Impuls2列车客货型,
94,19087,伯尔尼纳快车客货型,
95,19130,富士山观景特快列车客货型,
96,19324,澜沧号动车客货型,
97,19362,钢轨打磨车客货型,
98,19400,莫斯科2020列车客货型,
99,19438,EMD AEM-7型电力机车客货型,
100,19476,400系新型电车客货型,
101,19533,Travca机车客货型,
102,19571,玲珑号磁浮列车客货型,
103,19609,瑞士联邦铁路 BR193客货型,
104,19647,AeroLiner3000客货型,
105,19685,2025蛇年涂装客货型,
106,19738,俄罗斯ESh2客货型,
107,19776,飞龙复兴号客货型,
108,19814,金色山口列车客货型,
109,19852,KCIC400AF动车组客货型,
110,19902,欧洲之星城际列车客货型,
111,17154,兴国号客货型,
112,16924,费城不锈钢双层列车客货型,
113,16923,TGVPSE客货型,
114,17651,四川山地轨道交通客货型,
115,17437,中国龙中速磁悬浮客货型,
116,17155,2022国庆涂装客货型,
117,16754,2022虎年生肖涂装客货型,
118,17652,2023五一涂装客货型,
119,17438,2023兔年涂装客货型,
120,14781,雪国列车客货型,
121,20489,孔雀石3ES8型电力机车客货型,
