col_0,col_1,col_2,col_3,col_4
1,英铁Class395客货型*4辆,15948,520000,1
2,MLU001磁浮列车客货型*4辆,15947,520000,1
3,DD磁悬浮红旗版客货型*4辆,15946,520000,1
4,DD磁悬浮八一涂装客货型*4辆,15945,520000,1
5,德国TR-09客货型*4辆,15944,520000,1
6,CRH2-2296动车组客货型*4辆,15943,520000,1
7,端午龙舟火车客货型*4辆,15942,520000,1
8,HXN5330型内燃机车客货型*4辆,15941,520000,1
9,CRH5玫瑰号客货型*4辆,15940,520000,1
10,CR400BF国庆涂装客货型*4辆,15939,780000,1
11,成田特快E259客货型*4辆,15938,780000,1
12,新干线E3客货型*4辆,15937,780000,1
13,KTX2客货型*4辆,15936,780000,1
14,狗年生肖火车客货型*4辆,15935,780000,1
15,ITX新村号客货型*4辆,15934,780000,1
16,复兴号国庆涂装客货型*4辆,15933,780000,1
17,CR400BF客货型*4辆,15932,1040000,1
18,E657系电车客货型*4辆,15931,1040000,1
19,2018国庆涂装客货型*4辆,15930,1040000,1
20,2017生肖涂装客货型*4辆,15929,1040000,1
21,西门子VelaroRUSCHS8客货*4辆,15928,1040000,1
22,大力士高速列车客货型*4辆,15927,1040000,1
23,复兴号客货型*4辆,15926,1040000,1
24,新干线EVA客货型*4辆,15925,1820000,1
25,由布院之森观光列车客货型*4辆,15924,1820000,1
26,CR200J复兴号动车客货*4辆,15923,1820000,1
27,火影忍者涂装客货型*4辆,15922,1820000,1
28,2018圣诞涂装客货型*4辆,15921,1820000,1
29,瑞丰号客货型*4辆,15920,1820000,1
30,HXN5321型内燃机车客货型*4辆,15919,1820000,1
31,2019五一涂装客货型*4辆,15918,1820000,1
32,世界杯涂装火车客货型*4辆,15917,2080000,1
33,2018双十一涂装客货型*4辆,15916,2080000,1
34,2019春节涂装客货型*4辆,15915,2080000,1
35,2018中秋涂装客货型*4辆,15914,2080000,1
36,OUIGO客货型*4辆,15913,2210000,1
37,SUNRISE客货型*4辆,15912,2210000,1
