col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
1,3,3,贸易中心,house001_3x3.png,168,0,1,1
2,3,3,建筑设计院,house002_3x3.png,168,0,2,1
3,3,3,研发中心,house003_3x3.png,168,0,3,1
4,3,3,建材工厂,house004_3x3.png,168,0,4,1
5,3,3,化工工厂,house005_3x3.png,168,0,4,1
6,3,2,调味品厂,house006_2x3.png,115,0,4,1
7,3,2,粮副食厂,house007_2x3.png,115,0,4,1
8,3,2,罐头工厂,house008_2x3.png,115,0,4,1
9,3,2,糕点工厂,house009_2x3.png,115,0,4,1
10,3,2,酒饮工厂,house010_2x3.png,115,0,4,1
11,3,2,毛纺工厂,house011_2x3.png,115,0,4,1
12,3,2,服饰工厂,house012_2x3.png,115,0,4,1
13,3,2,制鞋工厂,house013_2x3.png,115,0,4,1
14,3,2,箱包工厂,house014_2x3.png,115,0,4,1
15,3,3,药妆原料厂,house015_3x3.png,168,0,4,1
16,3,2,保健品厂,house016_2x3.png,115,0,4,1
17,3,2,常规药工厂,house017_2x3.png,115,0,4,1
18,3,2,护肤品厂,house018_2x3.png,115,0,4,1
19,3,3,电子零件厂,house019_3x3.png,168,0,4,1
20,3,2,小型家电厂,house020_2x3.png,115,0,4,1
21,3,2,厨电工厂,house021_2x3.png,115,0,4,1
22,3,2,生活家电厂,house022_2x3.png,115,0,4,1
23,3,3,首饰原料工厂,house023_3x3.png,168,0,4,1
24,3,2,黄金饰品工厂,house024_2x3.png,115,0,4,1
25,3,2,珠宝饰品工厂,house025_2x3.png,115,0,4,1
26,3,2,洗护品工厂,house026_2x3.png,115,0,4,1
27,3,2,日用品工厂,house027_2x3.png,115,0,4,1
28,3,2,厨具工厂,house028_2x3.png,115,0,4,1
29,3,2,手机零件厂,house029_2x3.png,115,0,4,1
30,3,2,电脑零件厂,house030_2x3.png,115,0,4,1
31,3,2,汽车零件厂,house031_2x3.png,115,0,4,1
32,2,2,建材原料仓库,house032_2x2.png,112,0,5,1
33,2,2,农产原料仓库,house033_2x2.png,112,0,5,1
34,2,2,工业原料仓库,house034_2x2.png,112,0,5,1
35,2,2,食品商品仓库,house035_2x2.png,112,0,5,1
36,2,2,服饰商品仓库,house036_2x2.png,112,0,5,1
37,2,2,药妆商品仓库,house037_2x2.png,112,0,5,1
38,2,2,家电商品仓库,house038_2x2.png,112,0,5,1
39,2,2,珠宝商品仓库,house039_2x2.png,112,0,5,1
40,2,2,百货商品仓库,house040_2x2.png,112,0,5,1
41,2,2,制造商品仓库,house041_2x2.png,112,0,5,1
42,2,2,化工商品仓库,house042_2x2.png,112,0,5,1
43,1,1,杨树,scenery001_1x1.png,56,0,100,1
44,1,1,柳树,scenery002_1x1.png,56,0,100,1
45,1,1,悬铃木,scenery003_1x1.png,56,0,100,1
46,1,1,银杏树,scenery004_1x1.png,56,0,100,1
47,1,1,白桦树,scenery005_1x1.png,56,0,100,1
48,1,1,榆树,scenery006_1x1.png,56,0,100,1
49,1,1,花坛,scenery007_1x1.png,56,0,100,1
50,1,1,绿植隔离带,scenery008_1x1.png,56,0,100,1
51,1,1,鲜花隔离带,scenery009_1x1.png,56,0,100,1
52,1,1,休闲长椅,scenery010_1x1.png,56,0,100,1
53,1,1,消防栓,scenery011_1x1.png,56,0,100,1
54,2,2,音乐喷泉,scenery012_2x2.png,112,0,100,3
55,1,1,艺术雕像,scenery013_1x1.png,56,0,100,2
56,2,2,公共厕所,scenery014_2x2.png,113,0,100,3
57,1,1,公园桌椅套件,scenery015_1x1.png,56,0,100,2
58,1,1,垃圾桶,scenery016_1x1.png,56,0,100,2
59,1,1,公共电话亭,scenery017_1x1.png,56,0,100,2
60,1,1,广告牌,scenery018_1x1.png,56,0,100,2
61,2,2,公交车候车亭,scenery019_2x2.png,113,0,100,3
62,2,2,绿植雕塑,scenery020_2x2.png,113,0,100,3
63,2,2,儿童滑梯,scenery021_2x2.png,113,0,100,3
64,3,2,观赏水池,scenery022_2x3.png,112,0,100,3
65,2,2,便利店,scenery023_2x2.png,113,0,100,3
66,5,5,足球场,scenery024_5x5.png,280,0,100,4
67,5,5,网球场,scenery025_5x5.png,280,0,100,4
68,5,5,篮球场,scenery026_5x5.png,280,0,100,4
69,5,5,高尔夫球场,scenery027_5x5.png,280,0,100,4
70,5,5,美食城,scenery028_5x5.png,280,0,100,4
71,5,5,游乐场,scenery029_5x5.png,280,0,100,4
