col_0,col_1
0,司机仓库
1,注：自动发车只能在线使用，只会运输金币旅客。
2,购买司机
3,司机说明
4,购买岗位
5,一键支付
6,设置
7,合成
8,选择主车
9,选择副车
10,0级车队1
11,火车名字1
12,待岗
13,岗位
14,车队
15,强化
16,%d级车队
17,%d级车厢
18,车队不同
19,车队等级不同
20,车厢等级不同
21,车队已满级
22,点击合成按钮开始合成车队
23,可用%d个材料合成车队
24,请选择合成车
25,您确定花费%lld金币开通一个新司机岗位吗？
26,没有上岗司机，无法使用一键支付功能！！！
27,"你确定要支付所有在岗司机的工资吗?
花费:%d点卷"
28,%d红宝石，%d代金券
29,%d代金券
30,%d红宝石
31,"你确定要进行机车合成?
花费：%s"
32,"你确定要进行机车合成?
花费：%d个机车材料
花费：%s"
33,此型号机车无法添加车厢
34,强化已满级
35,机车类型不同
36,点击强化按钮开始强化
37,可用%d个机车材料强化
38,%d点券，%d代金券
39,%d点券
40,%d点卷
41,"你确定要把%s的车厢等级升级到%d级吗？
花费：%s"
42,"你确定要把%s的车厢等级升级到%d级吗？
花费：%d个机车材料
花费：%s"
