col_0,col_1
0,车站信息错误，请重新登录！
1,[%s]木有机车!
2,[%s]已经满载!
3,客货滞留量已经达到[%d]引导去升级车站!
4,请稍候……
5,请选择目标车站！！
6,收入
7,%s金币
8,%d点卷
9,没有收入
10,%s火车已经到达%s车站
11,%s火车已经到达车站
12,[%s]车站升级成功!
13,[%s]车站已经开通! [NaN]
14,开通[%s]站将消耗[%d]点卷，确实要开通么?
15,车站[%s]广告拉客成功
17,车站[%s]已关闭!
18,电力等级
19,速度等级
20,距离等级
21,成本等级
22,机车[%s]%s得到提升!
24,机车名称已修改！
25,机车名称不合法！
26,机车启用成功！
27,机车封存成功！
28,组装成功，机车材料+%d
29,车库升级成功！
30,加速成功！
31,配件购买成功！获得配件[%s]已放入零件仓库!
33,购买成功，机车材料+%d
34,购买成功
35,"机车购买成功！
机车槽已满，自动封存！
请查看机车材料"
36,[%s]电力购买成功！获得了%d电力
37,报名参加天梯赛成功.
38,未找到任何联盟！
39,创建联盟成功！
40,联盟名称不合法！
41,联盟描述不合法！
42,您已经申请了5个联盟，不能继续申请！
43,成功申请！
44,成功撤销！
45,成员ID：%d 成功加入!
46,已拒绝公司编号：%d 成功!
47,联盟扩建成功!扩建后成员上限%d人
48,联盟解散成功!
49,退出联盟成功!
50,退出联盟失败！
51,成员ID:%d已被开除！
52,联盟公告已经更新
53,联盟公告不合法！
54,联盟介绍已经更新
55,联盟介绍不合法！
56,邀请信息已经成功发送！
57,被邀请公司今日公休，邀请发送失败！
58,联盟[%s]邀请您加入，是否接受?
59,接受
60,拒绝
61,接受邀请成功！加入[%s]
62,您已经加入联盟了！
63,续费成功！
64,电力不足
65,真遗憾，火车升级失败，再接再厉一定成功。
66,司机已罢工，请支付工资后再使用自动发车功能
67,真遗憾，技能扩充失败，再接再厉一定成功。
68,真遗憾，技能升级失败，再接再厉一定成功。
69,真遗憾，机车合成失败，再接再厉一定成功
70,未定义的错误 错误ID: %d
71,"是否要购买“%s”?
花费：%lld宝石"
72,[%s]购买成功！
73,[%s]x%d购买成功！
74,购买成功！获得[%d]宝石。
75,设置自动报名状态失败，请稍后再试。
76,系统忙，请稍候再试
77,降级成功。
78,只有在车上的司机才能指定梦想！
79,请选择目标车站！
80,机车到站后，将会停止自动发车。
81,仓位扩充成功
82,恭喜你！技能升级成功！
83,恭喜你！技能扩充成功！
84,密码修改成功
85,恭喜！合成成功
86,组装成功，机车材料+1
87,请稍后……
88,司机名称已修改
89,输入的司机名字不合法！！!
90,购买成功！！！
91,放入机车成功，获得%d点卷
92,放入机车失败
93,开槽失败
94,公司编号%d成为副联盟长
95,这个人不是联盟成员
96,成功转让联盟给公司编号%d
97,成功发将给公司：%d
98,奖励只能发给本联盟的人
99,获取失败
100,恭喜！！合成成功
101,报名成功！
102,邀请已发出
103,邀请失败
104,"“%s”请求与你结盟
你的联盟将会成为他的协助者。"
105,同意
106,发奖成功
107,奖励发放失败
108,只有参加了上一届城市争夺赛的联盟才会刷新商品！
109,赠送成功
110,邀请已经发出
111,您离开了战队
112,(公司:%d)离开了战队
113,(公司:%d)加入了战队
114,战队已经解散
115,获得%d个代金券
116,未知
117,1折券
118,2折券
119,3折券
120,4折券
121,5折券
122,获得%sx%d
123,发车成功，获得%s金币。
124,没有机车发出
125,"成功发出%d辆机车。
获得%s金币"
126,转化成功
127,%d辆机车转化为材料
128,没有机车转化为材料
129,启用成功
130,超载花费%s金币
131,没有可一键超载的机车
132,一键超载花费%s金币
133,进化成功
134,购买失败，商品已刷新
135,"购买失败！
商品信息已刷新。"
136,账号密码创建成功
137,信息获取失败
138,派遣失败
139,暂无信息
140,请输入机车密码，1~4个数字
141,确定
142,取消
143,联盟正在结算，请在00:30之后操作。
144,联盟城市争夺赛正在结算，请在20:30之后操作。
159,此城市没有许可证价格
160,"是否购买“%s”的许可证？
花费：%d绿宝石"
161,许可证购买成功
162,销毁成功
163,生产成功
164,升级成功
165,卸下成功
166,出售完成
167,获得%d张图纸
168,获得%d个配件
169,获得%d张设计图
170,"绿宝石不足！
是否购买“%s”的许可证？
花费：%d钻石"
171,装备成功
172,操作失败
173,已完成，但是未领取奖励
174,积分+%lld
175,领取失败
176,请先设定机车密码后再进行注销
177,注销失败
