col_0,col_1
0,"车站广告和城市广告互斥。
车站广告开启后，本站客货刷新量翻倍！
确定消耗11点卷获得2小时的广告效应？"
1,"城市广告和车站广告互斥。
城市广告使其他车站旅客到本车站的数量随机增加0~8。你确定消耗(3星城市50点卷，2星城市75点卷，1星城市100点卷）获得7小时的广告效应？"
2,"显示
全部"
3,"显示
中转"
4,"显示
特殊"
5,"显示
点卷"
6,"显示
任务"
7,"注意老板！赔钱哦！本趟火车收入还不够火车的燃料费！
如何避免赔钱买卖：
不要让火车车厢有空载并把货物运往正确的车站."
8,请卸下车上的客货，自动发车只能在空车状态下使用。
9,40级之前加速免费！！！
10,本次加速需要花费%lld点卷.
11,"隐藏
机车"
12,"显示
机车"
13,是否使用免费旅客刷新？
14,"强制刷新客货列表需要花费%d点卷
确实要刷新么？"
15,%lld％
16,免费%d次
17,中转量：%d/%d
18,00分00秒
19,"显示
客货"
20,城市名
21,中转量：0/0
22,加速
23,此地图为游戏地图，请勿作为现代真实地图参考
24,"路线
后退"
25,"路线
撤消"
26,"取消
发车"
27,"发车
线路"
28,"线路
手动"
29,廊坊
30,23456.78亿
31,线
32,自动
33,手动
